P,Log K
1000.0,130.3376
1100.0,129.9276
1200.0,130.236
1300.0,130.9826
1400.0,131.9943
1500.0,133.1633
1600.0,134.4219
1700.0,135.7266
1800.0,137.0492
1900.0,138.3714
2000.0,139.681
2100.0,140.9701
2200.0,142.2337
2300.0,143.4685
2400.0,144.6728
2500.0,145.8456
2600.0,146.9866
2700.0,148.096
2800.0,149.1741
2900.0,150.2217
3000.0,151.2395
3100.0,152.2283
3200.0,153.189
3300.0,154.1226
3400.0,155.0301
3500.0,155.9123
3600.0,156.7701
3700.0,157.6045
3800.0,158.4163
3900.0,159.2063
4000.0,159.9754
4100.0,160.7243
4200.0,161.4538
4300.0,162.1646
4400.0,162.8573
4500.0,163.5327
4600.0,164.1913
4700.0,164.8338
4800.0,165.4607
4900.0,166.0726
5000.0,166.67
5100.0,167.2535
5200.0,167.8234
5300.0,168.3803
5400.0,168.9246
5500.0,169.4567
5600.0,169.977
5700.0,170.486
5800.0,170.984
5900.0,171.4713
6000.0,171.9483
6100.0,172.4154
6200.0,172.8728
6300.0,173.3208
6400.0,173.7598
6500.0,174.1901
6600.0,174.6118
6700.0,175.0253
6800.0,175.4308
6900.0,175.8286
7000.0,176.2189
7100.0,176.6019
7200.0,176.9778
7300.0,177.3469
7400.0,177.7093
7500.0,178.0653
7600.0,178.415
7700.0,178.7586
7800.0,179.0963
7900.0,179.4283
8000.0,179.7548
8100.0,180.0758
8200.0,180.3916
8300.0,180.7023
8400.0,181.008
8500.0,181.3089
8600.0,181.6051
8700.0,181.8968
8800.0,182.1841
8900.0,182.4671
9000.0,182.746
9100.0,183.0208
9200.0,183.2916
9300.0,183.5586
9400.0,183.822
9500.0,184.0817
9600.0,184.3379
9700.0,184.5907
9800.0,184.8402
9900.0,185.0865
10000.0,185.3297
10100.0,185.5699
10200.0,185.8071
10300.0,186.0414
10400.0,186.273
10500.0,186.5018
10600.0,186.7281
10700.0,186.9517
10800.0,187.1729
10900.0,187.3917
11000.0,187.6081
11100.0,187.8222
11200.0,188.034
11300.0,188.2437
11400.0,188.4513
11500.0,188.6567
11600.0,188.8602
11700.0,189.0617
11800.0,189.2613
11900.0,189.459
12000.0,189.6549
12100.0,189.8491
12200.0,190.0415
12300.0,190.2322
12400.0,190.4212
12500.0,190.6087
12600.0,190.7945
12700.0,190.9789
12800.0,191.1617
12900.0,191.3431
13000.0,191.5231
13100.0,191.7017
13200.0,191.8789
13300.0,192.0547
13400.0,192.2293
13500.0,192.4026
13600.0,192.5747
13700.0,192.7456
13800.0,192.9152
13900.0,193.0838
14000.0,193.2511
14100.0,193.4174
14200.0,193.5826
14300.0,193.7468
14400.0,193.9099
14500.0,194.072
14600.0,194.2331
14700.0,194.3932
14800.0,194.5524
14900.0,194.7107
15000.0,194.868
15100.0,195.0245
15200.0,195.1801
15300.0,195.3349
15400.0,195.4888
15500.0,195.6419
15600.0,195.7942
15700.0,195.9458
15800.0,196.0965
15900.0,196.2466
16000.0,196.3959
16100.0,196.5444
16200.0,196.6923
16300.0,196.8395
16400.0,196.986
16500.0,197.1319
16600.0,197.2771
16700.0,197.4217
16800.0,197.5657
16900.0,197.709
17000.0,197.8518
17100.0,197.994
17200.0,198.1356
17300.0,198.2767
17400.0,198.4172
17500.0,198.5572
17600.0,198.6966
17700.0,198.8356
17800.0,198.974
17900.0,199.1119
18000.0,199.2494
18100.0,199.3864
18200.0,199.5229
18300.0,199.659
18400.0,199.7946
18500.0,199.9298
18600.0,200.0645
18700.0,200.1989
18800.0,200.3328
18900.0,200.4663
19000.0,200.5994
19100.0,200.7322
19200.0,200.8645
19300.0,200.9965
19400.0,201.1281
19500.0,201.2594
19600.0,201.3903
19700.0,201.5208
19800.0,201.6511
19900.0,201.781
20000.0,201.9105
20100.0,202.0398
20200.0,202.1687
20300.0,202.2974
20400.0,202.4257
20500.0,202.5538
20600.0,202.6815
20700.0,202.809
20800.0,202.9362
20900.0,203.0632
21000.0,203.1898
21100.0,203.3162
21200.0,203.4424
21300.0,203.5683
21400.0,203.694
21500.0,203.8194
21600.0,203.9446
21700.0,204.0696
21800.0,204.1943
21900.0,204.3188
22000.0,204.4431
22100.0,204.5672
22200.0,204.6911
22300.0,204.8147
22400.0,204.9382
22500.0,205.0615
22600.0,205.1846
22700.0,205.3075
22800.0,205.4302
22900.0,205.5528
23000.0,205.6751
23100.0,205.7973
23200.0,205.9193
23300.0,206.0412
23400.0,206.1629
23500.0,206.2844
23600.0,206.4058
23700.0,206.527
23800.0,206.6481
23900.0,206.7691
24000.0,206.8899
24100.0,207.0105
24200.0,207.131
24300.0,207.2514
24400.0,207.3717
24500.0,207.4918
24600.0,207.6118
24700.0,207.7317
24800.0,207.8515
24900.0,207.9711
25000.0,208.0907
