P,Log K
1000.0,2.407288
1100.0,2.398148
1200.0,2.417731
1300.0,2.454807
1400.0,2.502433
1500.0,2.556302
1600.0,2.613696
1700.0,2.672877
1800.0,2.732715
1900.0,2.792471
2000.0,2.85166
2100.0,2.909966
2200.0,2.967186
2300.0,3.023192
2400.0,3.077911
2500.0,3.131307
2600.0,3.183367
2700.0,3.2341
2800.0,3.283521
2900.0,3.331658
3000.0,3.378543
3100.0,3.424211
3200.0,3.468698
3300.0,3.512043
3400.0,3.554285
3500.0,3.595461
3600.0,3.635609
3700.0,3.674766
3800.0,3.712967
3900.0,3.750247
4000.0,3.786638
4100.0,3.822173
4200.0,3.856883
4300.0,3.890797
4400.0,3.923943
4500.0,3.956349
4600.0,3.98804
4700.0,4.019041
4800.0,4.049376
4900.0,4.079068
5000.0,4.108138
5100.0,4.136608
5200.0,4.164498
5300.0,4.191826
5400.0,4.218611
5500.0,4.244871
5600.0,4.270623
5700.0,4.295883
5800.0,4.320665
5900.0,4.344986
6000.0,4.36886
6100.0,4.392301
6200.0,4.415321
6300.0,4.437933
6400.0,4.46015
6500.0,4.481984
6600.0,4.503446
6700.0,4.524546
6800.0,4.545296
6900.0,4.565706
7000.0,4.585785
7100.0,4.605543
7200.0,4.624989
7300.0,4.644132
7400.0,4.66298
7500.0,4.681542
7600.0,4.699826
7700.0,4.717838
7800.0,4.735588
7900.0,4.753082
8000.0,4.770326
8100.0,4.787328
8200.0,4.804095
8300.0,4.820632
8400.0,4.836946
8500.0,4.853043
8600.0,4.868928
8700.0,4.884608
8800.0,4.900087
8900.0,4.915371
9000.0,4.930465
9100.0,4.945374
9200.0,4.960103
9300.0,4.974657
9400.0,4.98904
9500.0,5.003257
9600.0,5.017312
9700.0,5.03121
9800.0,5.044954
9900.0,5.058548
10000.0,5.071997
10100.0,5.085305
10200.0,5.098474
10300.0,5.111508
10400.0,5.124412
10500.0,5.137187
10600.0,5.149838
10700.0,5.162367
10800.0,5.174777
10900.0,5.187072
11000.0,5.199253
11100.0,5.211324
11200.0,5.223287
11300.0,5.235145
11400.0,5.2469
11500.0,5.258555
11600.0,5.270112
11700.0,5.281572
11800.0,5.292939
11900.0,5.304214
12000.0,5.315399
12100.0,5.326497
12200.0,5.337508
12300.0,5.348436
12400.0,5.359282
12500.0,5.370047
12600.0,5.380734
12700.0,5.391344
12800.0,5.401878
12900.0,5.412338
13000.0,5.422726
13100.0,5.433044
13200.0,5.443291
13300.0,5.453471
13400.0,5.463585
13500.0,5.473633
13600.0,5.483617
13700.0,5.493538
13800.0,5.503398
13900.0,5.513197
14000.0,5.522937
14100.0,5.53262
14200.0,5.542245
14300.0,5.551815
14400.0,5.56133
14500.0,5.570791
14600.0,5.5802
14700.0,5.589557
14800.0,5.598863
14900.0,5.608119
15000.0,5.617327
15100.0,5.626486
15200.0,5.635598
15300.0,5.644664
15400.0,5.653685
15500.0,5.662661
15600.0,5.671593
15700.0,5.680482
15800.0,5.689329
15900.0,5.698134
16000.0,5.706898
16100.0,5.715622
16200.0,5.724307
16300.0,5.732953
16400.0,5.741561
16500.0,5.750131
16600.0,5.758665
16700.0,5.767162
16800.0,5.775624
16900.0,5.784051
17000.0,5.792443
17100.0,5.800802
17200.0,5.809127
17300.0,5.81742
17400.0,5.825681
17500.0,5.833909
17600.0,5.842107
17700.0,5.850274
17800.0,5.858411
17900.0,5.866518
18000.0,5.874596
18100.0,5.882646
18200.0,5.890667
18300.0,5.89866
18400.0,5.906626
18500.0,5.914565
18600.0,5.922478
18700.0,5.930364
18800.0,5.938225
18900.0,5.94606
19000.0,5.953871
19100.0,5.961657
19200.0,5.969418
19300.0,5.977156
19400.0,5.984871
19500.0,5.992563
19600.0,6.000232
19700.0,6.007878
19800.0,6.015503
19900.0,6.023105
20000.0,6.030687
20100.0,6.038247
20200.0,6.045787
20300.0,6.053306
20400.0,6.060805
20500.0,6.068284
20600.0,6.075744
20700.0,6.083185
20800.0,6.090606
20900.0,6.098009
21000.0,6.105393
21100.0,6.11276
21200.0,6.120108
21300.0,6.127439
21400.0,6.134752
21500.0,6.142048
21600.0,6.149328
21700.0,6.15659
21800.0,6.163837
21900.0,6.171067
22000.0,6.178281
22100.0,6.185479
22200.0,6.192662
22300.0,6.19983
22400.0,6.206983
22500.0,6.214121
22600.0,6.221244
22700.0,6.228352
22800.0,6.235447
22900.0,6.242527
23000.0,6.249594
23100.0,6.256647
23200.0,6.263686
23300.0,6.270713
23400.0,6.277726
23500.0,6.284726
23600.0,6.291714
23700.0,6.298689
23800.0,6.305651
23900.0,6.312601
24000.0,6.31954
24100.0,6.326466
24200.0,6.333381
24300.0,6.340284
24400.0,6.347176
24500.0,6.354056
24600.0,6.360925
24700.0,6.367784
24800.0,6.374631
24900.0,6.381468
25000.0,6.388295
