P,Log K
1000.0,-1.70594
1100.0,-1.667319
1200.0,-1.630773
1300.0,-1.596099
1400.0,-1.563125
1500.0,-1.531701
1600.0,-1.501697
1700.0,-1.473002
1800.0,-1.445516
1900.0,-1.41915
2000.0,-1.393827
2100.0,-1.369475
2200.0,-1.346032
2300.0,-1.323439
2400.0,-1.301647
2500.0,-1.280606
2600.0,-1.260274
2700.0,-1.240611
2800.0,-1.221581
2900.0,-1.203151
3000.0,-1.185289
3100.0,-1.167966
3200.0,-1.151157
3300.0,-1.134836
3400.0,-1.11898
3500.0,-1.103567
3600.0,-1.088579
3700.0,-1.073994
3800.0,-1.059797
3900.0,-1.04597
4000.0,-1.032497
4100.0,-1.019365
4200.0,-1.006558
4300.0,-0.9940636
4400.0,-0.9818698
4500.0,-0.9699646
4600.0,-0.9583367
4700.0,-0.9469756
4800.0,-0.9358712
4900.0,-0.925014
5000.0,-0.9143949
5100.0,-0.9040052
5200.0,-0.8938366
5300.0,-0.8838813
5400.0,-0.8741319
5500.0,-0.8645811
5600.0,-0.8552222
5700.0,-0.8460489
5800.0,-0.8370549
5900.0,-0.8282346
6000.0,-0.8195824
6100.0,-0.811093
6200.0,-0.8027614
6300.0,-0.7945828
6400.0,-0.7865526
6500.0,-0.7786665
6600.0,-0.7709202
6700.0,-0.7633098
6800.0,-0.7558314
6900.0,-0.7484814
7000.0,-0.7412562
7100.0,-0.7341524
7200.0,-0.7271669
7300.0,-0.7202964
7400.0,-0.713538
7500.0,-0.7068887
7600.0,-0.7003459
7700.0,-0.6939069
7800.0,-0.687569
7900.0,-0.6813298
8000.0,-0.675187
8100.0,-0.6691382
8200.0,-0.6631811
8300.0,-0.6573138
8400.0,-0.651534
8500.0,-0.6458398
8600.0,-0.6402293
8700.0,-0.6347006
8800.0,-0.6292519
8900.0,-0.6238814
9000.0,-0.6185875
9100.0,-0.6133684
9200.0,-0.6082228
9300.0,-0.6031489
9400.0,-0.5981453
9500.0,-0.5932106
9600.0,-0.5883434
9700.0,-0.5835423
9800.0,-0.578806
9900.0,-0.5741332
10000.0,-0.5695227
10100.0,-0.5649733
10200.0,-0.5604838
10300.0,-0.556053
10400.0,-0.55168
10500.0,-0.5473635
10600.0,-0.5431026
10700.0,-0.5388962
10800.0,-0.5347433
10900.0,-0.530643
11000.0,-0.5265944
11100.0,-0.5225965
11200.0,-0.5186485
11300.0,-0.5147494
11400.0,-0.5108985
11500.0,-0.5070948
11600.0,-0.5033377
11700.0,-0.4996264
11800.0,-0.49596
11900.0,-0.4923378
12000.0,-0.4887591
12100.0,-0.4852232
12200.0,-0.4817295
12300.0,-0.4782772
12400.0,-0.4748656
12500.0,-0.4714942
12600.0,-0.4681623
12700.0,-0.4648692
12800.0,-0.4616145
12900.0,-0.4583975
13000.0,-0.4552176
13100.0,-0.4520743
13200.0,-0.448967
13300.0,-0.4458952
13400.0,-0.4428584
13500.0,-0.4398561
13600.0,-0.4368877
13700.0,-0.4339528
13800.0,-0.4310508
13900.0,-0.4281814
14000.0,-0.4253441
14100.0,-0.4225384
14200.0,-0.4197638
14300.0,-0.41702
14400.0,-0.4143065
14500.0,-0.4116229
14600.0,-0.4089688
14700.0,-0.4063438
14800.0,-0.4037476
14900.0,-0.4011796
15000.0,-0.3986396
15100.0,-0.3961272
15200.0,-0.393642
15300.0,-0.3911837
15400.0,-0.388752
15500.0,-0.3863464
15600.0,-0.3839667
15700.0,-0.3816125
15800.0,-0.3792835
15900.0,-0.3769794
16000.0,-0.3746999
16100.0,-0.3724447
16200.0,-0.3702135
16300.0,-0.3680059
16400.0,-0.3658218
16500.0,-0.3636608
16600.0,-0.3615226
16700.0,-0.359407
16800.0,-0.3573137
16900.0,-0.3552424
17000.0,-0.353193
17100.0,-0.351165
17200.0,-0.3491584
17300.0,-0.3471727
17400.0,-0.3452079
17500.0,-0.3432636
17600.0,-0.3413397
17700.0,-0.3394359
17800.0,-0.3375519
17900.0,-0.3356876
18000.0,-0.3338427
18100.0,-0.332017
18200.0,-0.3302103
18300.0,-0.3284225
18400.0,-0.3266532
18500.0,-0.3249024
18600.0,-0.3231697
18700.0,-0.321455
18800.0,-0.3197582
18900.0,-0.3180789
19000.0,-0.3164172
19100.0,-0.3147726
19200.0,-0.3131452
19300.0,-0.3115346
19400.0,-0.3099408
19500.0,-0.3083635
19600.0,-0.3068027
19700.0,-0.305258
19800.0,-0.3037294
19900.0,-0.3022167
20000.0,-0.3007197
20100.0,-0.2992383
20200.0,-0.2977724
20300.0,-0.2963217
20400.0,-0.2948861
20500.0,-0.2934655
20600.0,-0.2920597
20700.0,-0.2906686
20800.0,-0.2892921
20900.0,-0.28793
21000.0,-0.2865821
21100.0,-0.2852483
21200.0,-0.2839286
21300.0,-0.2826227
21400.0,-0.2813306
21500.0,-0.2800521
21600.0,-0.278787
21700.0,-0.2775354
21800.0,-0.2762969
21900.0,-0.2750716
22000.0,-0.2738592
22100.0,-0.2726598
22200.0,-0.2714731
22300.0,-0.270299
22400.0,-0.2691375
22500.0,-0.2679884
22600.0,-0.2668516
22700.0,-0.265727
22800.0,-0.2646145
22900.0,-0.2635139
23000.0,-0.2624253
23100.0,-0.2613484
23200.0,-0.2602833
23300.0,-0.2592297
23400.0,-0.2581875
23500.0,-0.2571568
23600.0,-0.2561373
23700.0,-0.255129
23800.0,-0.2541318
23900.0,-0.2531456
24000.0,-0.2521704
24100.0,-0.2512059
24200.0,-0.2502521
24300.0,-0.249309
24400.0,-0.2483765
24500.0,-0.2474544
24600.0,-0.2465426
24700.0,-0.2456412
24800.0,-0.24475
24900.0,-0.2438689
25000.0,-0.2429978
