P,Log K
1000.0,-5.898183
1100.0,-5.76894
1200.0,-5.649585
1300.0,-5.538637
1400.0,-5.434947
1500.0,-5.337602
1600.0,-5.245862
1700.0,-5.159119
1800.0,-5.076863
1900.0,-4.998663
2000.0,-4.924152
2100.0,-4.853012
2200.0,-4.784968
2300.0,-4.719777
2400.0,-4.657227
2500.0,-4.597128
2600.0,-4.539311
2700.0,-4.483626
2800.0,-4.429937
2900.0,-4.378119
3000.0,-4.328063
3100.0,-4.279665
3200.0,-4.232834
3300.0,-4.187483
3400.0,-4.143535
3500.0,-4.100917
3600.0,-4.059563
3700.0,-4.019411
3800.0,-3.980403
3900.0,-3.942487
4000.0,-3.905612
4100.0,-3.869733
4200.0,-3.834805
4300.0,-3.800789
4400.0,-3.767646
4500.0,-3.73534
4600.0,-3.703837
4700.0,-3.673107
4800.0,-3.643117
4900.0,-3.613841
5000.0,-3.585252
5100.0,-3.557323
5200.0,-3.530031
5300.0,-3.503353
5400.0,-3.477268
5500.0,-3.451754
5600.0,-3.426792
5700.0,-3.402363
5800.0,-3.378449
5900.0,-3.355033
6000.0,-3.332099
6100.0,-3.309631
6200.0,-3.287614
6300.0,-3.266034
6400.0,-3.244877
6500.0,-3.22413
6600.0,-3.20378
6700.0,-3.183816
6800.0,-3.164225
6900.0,-3.144996
7000.0,-3.126118
7100.0,-3.107582
7200.0,-3.089376
7300.0,-3.071492
7400.0,-3.05392
7500.0,-3.036651
7600.0,-3.019676
7700.0,-3.002986
7800.0,-2.986575
7900.0,-2.970433
8000.0,-2.954553
8100.0,-2.938928
8200.0,-2.923551
8300.0,-2.908416
8400.0,-2.893516
8500.0,-2.878846
8600.0,-2.864398
8700.0,-2.850168
8800.0,-2.836149
8900.0,-2.822338
9000.0,-2.808728
9100.0,-2.795315
9200.0,-2.782094
9300.0,-2.769061
9400.0,-2.75621
9500.0,-2.743539
9600.0,-2.731042
9700.0,-2.718716
9800.0,-2.706557
9900.0,-2.694561
10000.0,-2.682725
10100.0,-2.671045
10200.0,-2.659517
10300.0,-2.64814
10400.0,-2.636909
10500.0,-2.625821
10600.0,-2.614873
10700.0,-2.604063
10800.0,-2.593388
10900.0,-2.582844
11000.0,-2.57243
11100.0,-2.562143
11200.0,-2.55198
11300.0,-2.541939
11400.0,-2.532017
11500.0,-2.522213
11600.0,-2.512524
11700.0,-2.502948
11800.0,-2.493483
11900.0,-2.484126
12000.0,-2.474877
12100.0,-2.465732
12200.0,-2.45669
12300.0,-2.447749
12400.0,-2.438908
12500.0,-2.430165
12600.0,-2.421517
12700.0,-2.412964
12800.0,-2.404504
12900.0,-2.396134
13000.0,-2.387855
13100.0,-2.379663
13200.0,-2.371558
13300.0,-2.363539
13400.0,-2.355603
13500.0,-2.34775
13600.0,-2.339978
13700.0,-2.332286
13800.0,-2.324672
13900.0,-2.317136
14000.0,-2.309677
14100.0,-2.302292
14200.0,-2.294981
14300.0,-2.287743
14400.0,-2.280577
14500.0,-2.273481
14600.0,-2.266454
14700.0,-2.259497
14800.0,-2.252606
14900.0,-2.245783
15000.0,-2.239025
15100.0,-2.232331
15200.0,-2.225701
15300.0,-2.219134
15400.0,-2.212629
15500.0,-2.206185
15600.0,-2.199801
15700.0,-2.193477
15800.0,-2.187211
15900.0,-2.181002
16000.0,-2.174851
16100.0,-2.168756
16200.0,-2.162716
16300.0,-2.156731
16400.0,-2.150801
16500.0,-2.144923
16600.0,-2.139098
16700.0,-2.133325
16800.0,-2.127603
16900.0,-2.121931
17000.0,-2.11631
17100.0,-2.110738
17200.0,-2.105214
17300.0,-2.099739
17400.0,-2.094311
17500.0,-2.08893
17600.0,-2.083595
17700.0,-2.078306
17800.0,-2.073062
17900.0,-2.067863
18000.0,-2.062708
18100.0,-2.057597
18200.0,-2.052528
18300.0,-2.047502
18400.0,-2.042518
18500.0,-2.037576
18600.0,-2.032675
18700.0,-2.027814
18800.0,-2.022994
18900.0,-2.018213
19000.0,-2.013471
19100.0,-2.008769
19200.0,-2.004104
19300.0,-1.999478
19400.0,-1.994889
19500.0,-1.990337
19600.0,-1.985821
19700.0,-1.981342
19800.0,-1.976899
19900.0,-1.972491
20000.0,-1.968119
20100.0,-1.963781
20200.0,-1.959477
20300.0,-1.955208
20400.0,-1.950972
20500.0,-1.946769
20600.0,-1.942599
20700.0,-1.938462
20800.0,-1.934357
20900.0,-1.930284
21000.0,-1.926243
21100.0,-1.922233
21200.0,-1.918253
21300.0,-1.914305
21400.0,-1.910387
21500.0,-1.906498
21600.0,-1.90264
21700.0,-1.898811
21800.0,-1.895011
21900.0,-1.891239
22000.0,-1.887497
22100.0,-1.883782
22200.0,-1.880096
22300.0,-1.876438
22400.0,-1.872806
22500.0,-1.869202
22600.0,-1.865626
22700.0,-1.862075
22800.0,-1.858551
22900.0,-1.855054
23000.0,-1.851582
23100.0,-1.848136
23200.0,-1.844715
23300.0,-1.84132
23400.0,-1.83795
23500.0,-1.834604
23600.0,-1.831283
23700.0,-1.827986
23800.0,-1.824714
23900.0,-1.821465
24000.0,-1.81824
24100.0,-1.815038
24200.0,-1.81186
24300.0,-1.808705
24400.0,-1.805572
24500.0,-1.802462
24600.0,-1.799375
24700.0,-1.79631
24800.0,-1.793267
24900.0,-1.790246
25000.0,-1.787246
