P,Log K
1000.0,3.928614
1100.0,3.898128
1200.0,3.880918
1300.0,3.872136
1400.0,3.868828
1500.0,3.869148
1600.0,3.87191
1700.0,3.876327
1800.0,3.881868
1900.0,3.888166
2000.0,3.894961
2100.0,3.90207
2200.0,3.90936
2300.0,3.916733
2400.0,3.924119
2500.0,3.931466
2600.0,3.938735
2700.0,3.9459
2800.0,3.952939
2900.0,3.959839
3000.0,3.966589
3100.0,3.973183
3200.0,3.979617
3300.0,3.985889
3400.0,3.991998
3500.0,3.997945
3600.0,4.003731
3700.0,4.009359
3800.0,4.014832
3900.0,4.020151
4000.0,4.025321
4100.0,4.030345
4200.0,4.035227
4300.0,4.039969
4400.0,4.044577
4500.0,4.049054
4600.0,4.053402
4700.0,4.057627
4800.0,4.061731
4900.0,4.065719
5000.0,4.069592
5100.0,4.073356
5200.0,4.077013
5300.0,4.080566
5400.0,4.084019
5500.0,4.087374
5600.0,4.090635
5700.0,4.093804
5800.0,4.096884
5900.0,4.099878
6000.0,4.102788
6100.0,4.105618
6200.0,4.108368
6300.0,4.111042
6400.0,4.113642
6500.0,4.11617
6600.0,4.118629
6700.0,4.12102
6800.0,4.123345
6900.0,4.125607
7000.0,4.127807
7100.0,4.129947
7200.0,4.13203
7300.0,4.134055
7400.0,4.136026
7500.0,4.137945
7600.0,4.139811
7700.0,4.141628
7800.0,4.143396
7900.0,4.145117
8000.0,4.146793
8100.0,4.148424
8200.0,4.150012
8300.0,4.151559
8400.0,4.153065
8500.0,4.154532
8600.0,4.155961
8700.0,4.157354
8800.0,4.15871
8900.0,4.160032
9000.0,4.16132
9100.0,4.162575
9200.0,4.163799
9300.0,4.164993
9400.0,4.166156
9500.0,4.167291
9600.0,4.168398
9700.0,4.169478
9800.0,4.170532
9900.0,4.171561
10000.0,4.172566
10100.0,4.173546
10200.0,4.174504
10300.0,4.17544
10400.0,4.176354
10500.0,4.177247
10600.0,4.17812
10700.0,4.178974
10800.0,4.179809
10900.0,4.180626
11000.0,4.181424
11100.0,4.182206
11200.0,4.182971
11300.0,4.18372
11400.0,4.184453
11500.0,4.185171
11600.0,4.185874
11700.0,4.186563
11800.0,4.187239
11900.0,4.187901
12000.0,4.18855
12100.0,4.189186
12200.0,4.18981
12300.0,4.190422
12400.0,4.191023
12500.0,4.191613
12600.0,4.192192
12700.0,4.192761
12800.0,4.193319
12900.0,4.193868
13000.0,4.194407
13100.0,4.194937
13200.0,4.195458
13300.0,4.195971
13400.0,4.196475
13500.0,4.196971
13600.0,4.197459
13700.0,4.197939
13800.0,4.198412
13900.0,4.198878
14000.0,4.199337
14100.0,4.19979
14200.0,4.200236
14300.0,4.200675
14400.0,4.201109
14500.0,4.201537
14600.0,4.201959
14700.0,4.202376
14800.0,4.202787
14900.0,4.203193
15000.0,4.203594
15100.0,4.203991
15200.0,4.204383
15300.0,4.20477
15400.0,4.205154
15500.0,4.205533
15600.0,4.205908
15700.0,4.206279
15800.0,4.206647
15900.0,4.207011
16000.0,4.207372
16100.0,4.207729
16200.0,4.208083
16300.0,4.208434
16400.0,4.208783
16500.0,4.209128
16600.0,4.209471
16700.0,4.209811
16800.0,4.210149
16900.0,4.210484
17000.0,4.210818
17100.0,4.211149
17200.0,4.211478
17300.0,4.211805
17400.0,4.21213
17500.0,4.212454
17600.0,4.212776
17700.0,4.213096
17800.0,4.213415
17900.0,4.213733
18000.0,4.214049
18100.0,4.214364
18200.0,4.214678
18300.0,4.214991
18400.0,4.215303
18500.0,4.215614
18600.0,4.215925
18700.0,4.216234
18800.0,4.216543
18900.0,4.216851
19000.0,4.217159
19100.0,4.217466
19200.0,4.217772
19300.0,4.218079
19400.0,4.218385
19500.0,4.218691
19600.0,4.218996
19700.0,4.219302
19800.0,4.219608
19900.0,4.219913
20000.0,4.220219
20100.0,4.220524
20200.0,4.22083
20300.0,4.221136
20400.0,4.221443
20500.0,4.221749
20600.0,4.222056
20700.0,4.222364
20800.0,4.222671
20900.0,4.22298
21000.0,4.223289
21100.0,4.223598
21200.0,4.223908
21300.0,4.224219
21400.0,4.22453
21500.0,4.224842
21600.0,4.225155
21700.0,4.225469
21800.0,4.225784
21900.0,4.226099
22000.0,4.226416
22100.0,4.226733
22200.0,4.227052
22300.0,4.227371
22400.0,4.227691
22500.0,4.228013
22600.0,4.228336
22700.0,4.22866
22800.0,4.228985
22900.0,4.229311
23000.0,4.229639
23100.0,4.229967
23200.0,4.230298
23300.0,4.230629
23400.0,4.230962
23500.0,4.231296
23600.0,4.231632
23700.0,4.231969
23800.0,4.232307
23900.0,4.232647
24000.0,4.232989
24100.0,4.233332
24200.0,4.233676
24300.0,4.234023
24400.0,4.23437
24500.0,4.23472
24600.0,4.235071
24700.0,4.235424
24800.0,4.235778
24900.0,4.236134
25000.0,4.236492
