P,Log K
1000.0,6.449386
1100.0,6.415229
1200.0,6.417328
1300.0,6.441714
1400.0,6.479828
1500.0,6.526366
1600.0,6.577971
1700.0,6.632475
1800.0,6.688458
1900.0,6.744974
2000.0,6.801389
2100.0,6.857278
2200.0,6.912356
2300.0,6.966435
2400.0,7.019394
2500.0,7.07116
2600.0,7.121692
2700.0,7.170974
2800.0,7.219006
2900.0,7.2658
3000.0,7.311375
3100.0,7.355759
3200.0,7.398979
3300.0,7.441068
3400.0,7.48206
3500.0,7.521987
3600.0,7.560885
3700.0,7.598787
3800.0,7.635726
3900.0,7.671735
4000.0,7.706846
4100.0,7.741089
4200.0,7.774494
4300.0,7.80709
4400.0,7.838905
4500.0,7.869964
4600.0,7.900294
4700.0,7.92992
4800.0,7.958865
4900.0,7.987151
5000.0,8.014801
5100.0,8.041835
5200.0,8.068274
5300.0,8.094137
5400.0,8.119442
5500.0,8.144207
5600.0,8.16845
5700.0,8.192186
5800.0,8.215432
5900.0,8.238202
6000.0,8.260511
6100.0,8.282374
6200.0,8.303803
6300.0,8.324812
6400.0,8.345414
6500.0,8.365619
6600.0,8.385441
6700.0,8.40489
6800.0,8.423977
6900.0,8.442712
7000.0,8.461106
7100.0,8.479168
7200.0,8.496908
7300.0,8.514334
7400.0,8.531456
7500.0,8.548282
7600.0,8.56482
7700.0,8.581078
7800.0,8.597064
7900.0,8.612785
8000.0,8.628248
8100.0,8.643461
8200.0,8.658429
8300.0,8.673161
8400.0,8.687662
8500.0,8.701937
8600.0,8.715995
8700.0,8.729839
8800.0,8.743476
8900.0,8.756911
9000.0,8.770149
9100.0,8.783196
9200.0,8.796057
9300.0,8.808737
9400.0,8.82124
9500.0,8.833571
9600.0,8.845735
9700.0,8.857735
9800.0,8.869578
9900.0,8.881265
10000.0,8.892802
10100.0,8.904193
10200.0,8.915441
10300.0,8.926549
10400.0,8.937522
10500.0,8.948364
10600.0,8.959076
10700.0,8.969662
10800.0,8.980126
10900.0,8.99047
11000.0,9.000698
11100.0,9.010811
11200.0,9.020813
11300.0,9.030707
11400.0,9.040494
11500.0,9.050178
11600.0,9.059761
11700.0,9.069244
11800.0,9.078631
11900.0,9.087923
12000.0,9.097122
12100.0,9.106231
12200.0,9.115252
12300.0,9.124186
12400.0,9.133035
12500.0,9.141802
12600.0,9.150487
12700.0,9.159093
12800.0,9.167622
12900.0,9.176074
13000.0,9.184452
13100.0,9.192756
13200.0,9.20099
13300.0,9.209153
13400.0,9.217248
13500.0,9.225275
13600.0,9.233237
13700.0,9.241133
13800.0,9.248967
13900.0,9.256739
14000.0,9.264449
14100.0,9.2721
14200.0,9.279693
14300.0,9.287228
14400.0,9.294707
14500.0,9.30213
14600.0,9.3095
14700.0,9.316816
14800.0,9.32408
14900.0,9.331293
15000.0,9.338455
15100.0,9.345568
15200.0,9.352633
15300.0,9.35965
15400.0,9.36662
15500.0,9.373545
15600.0,9.380424
15700.0,9.387259
15800.0,9.394051
15900.0,9.4008
16000.0,9.407507
16100.0,9.414172
16200.0,9.420798
16300.0,9.427383
16400.0,9.433929
16500.0,9.440437
16600.0,9.446907
16700.0,9.45334
16800.0,9.459736
16900.0,9.466097
17000.0,9.472422
17100.0,9.478713
17200.0,9.484969
17300.0,9.491192
17400.0,9.497381
17500.0,9.503539
17600.0,9.509664
17700.0,9.515758
17800.0,9.521821
17900.0,9.527854
18000.0,9.533856
18100.0,9.539829
18200.0,9.545774
18300.0,9.551689
18400.0,9.557577
18500.0,9.563437
18600.0,9.56927
18700.0,9.575076
18800.0,9.580856
18900.0,9.58661
19000.0,9.592338
19100.0,9.598042
19200.0,9.60372
19300.0,9.609375
19400.0,9.615005
19500.0,9.620612
19600.0,9.626195
19700.0,9.631755
19800.0,9.637293
19900.0,9.642809
20000.0,9.648303
20100.0,9.653775
20200.0,9.659227
20300.0,9.664657
20400.0,9.670066
20500.0,9.675456
20600.0,9.680825
20700.0,9.686175
20800.0,9.691505
20900.0,9.696816
21000.0,9.702109
21100.0,9.707383
21200.0,9.712638
21300.0,9.717876
21400.0,9.723095
21500.0,9.728298
21600.0,9.733483
21700.0,9.738651
21800.0,9.743802
21900.0,9.748937
22000.0,9.754055
22100.0,9.759158
22200.0,9.764244
22300.0,9.769315
22400.0,9.774371
22500.0,9.779411
22600.0,9.784437
22700.0,9.789448
22800.0,9.794444
22900.0,9.799426
23000.0,9.804394
23100.0,9.809348
23200.0,9.814288
23300.0,9.819215
23400.0,9.824128
23500.0,9.829028
23600.0,9.833916
23700.0,9.83879
23800.0,9.843652
23900.0,9.848501
24000.0,9.853338
24100.0,9.858163
24200.0,9.862976
24300.0,9.867778
24400.0,9.872567
24500.0,9.877345
24600.0,9.882112
24700.0,9.886868
24800.0,9.891613
24900.0,9.896347
25000.0,9.90107
