P,G (J/mol)
1000.0,-316080.1
1100.0,-314226.6
1200.0,-313319.7
1300.0,-313007.5
1400.0,-313079.3
1500.0,-313405.0
1600.0,-313901.2
1700.0,-314513.3
1800.0,-315204.1
1900.0,-315948.0
2000.0,-316727.0
2100.0,-317528.4
2200.0,-318342.8
2300.0,-319163.3
2400.0,-319985.2
2500.0,-320804.6
2600.0,-321618.9
2700.0,-322426.1
2800.0,-323224.7
2900.0,-324013.7
3000.0,-324792.3
3100.0,-325560.1
3200.0,-326316.6
3300.0,-327061.8
3400.0,-327795.5
3500.0,-328517.7
3600.0,-329228.6
3700.0,-329928.1
3800.0,-330616.6
3900.0,-331294.0
4000.0,-331960.8
4100.0,-332616.9
4200.0,-333262.8
4300.0,-333898.6
4400.0,-334524.5
4500.0,-335140.8
4600.0,-335747.8
4700.0,-336345.6
4800.0,-336934.4
4900.0,-337514.6
5000.0,-338086.4
5100.0,-338649.8
5200.0,-339205.3
5300.0,-339753.0
5400.0,-340293.0
5500.0,-340825.6
5600.0,-341351.1
5700.0,-341869.5
5800.0,-342381.0
5900.0,-342885.9
6000.0,-343384.3
6100.0,-343876.3
6200.0,-344362.2
6300.0,-344842.2
6400.0,-345316.2
6500.0,-345784.6
6600.0,-346247.4
6700.0,-346704.8
6800.0,-347156.9
6900.0,-347603.8
7000.0,-348045.8
7100.0,-348482.8
7200.0,-348915.1
7300.0,-349342.7
7400.0,-349765.8
7500.0,-350184.5
7600.0,-350598.8
7700.0,-351008.9
7800.0,-351414.9
7900.0,-351816.9
8000.0,-352214.9
8100.0,-352609.2
8200.0,-352999.7
8300.0,-353386.5
8400.0,-353769.8
8500.0,-354149.6
8600.0,-354526.0
8700.0,-354899.1
8800.0,-355268.9
8900.0,-355635.6
9000.0,-355999.1
9100.0,-356359.7
9200.0,-356717.3
9300.0,-357072.0
9400.0,-357423.9
9500.0,-357773.1
9600.0,-358119.5
9700.0,-358463.3
9800.0,-358804.6
9900.0,-359143.4
10000.0,-359479.6
10100.0,-359813.6
10200.0,-360145.1
10300.0,-360474.4
10400.0,-360801.4
10500.0,-361126.2
10600.0,-361448.9
10700.0,-361769.5
10800.0,-362088.0
10900.0,-362404.5
11000.0,-362719.1
11100.0,-363031.7
11200.0,-363342.4
11300.0,-363651.3
11400.0,-363958.3
11500.0,-364263.6
11600.0,-364567.1
11700.0,-364868.9
11800.0,-365169.0
11900.0,-365467.4
12000.0,-365764.3
12100.0,-366059.5
12200.0,-366353.2
12300.0,-366645.3
12400.0,-366936.0
12500.0,-367225.1
12600.0,-367512.8
12700.0,-367799.1
12800.0,-368084.0
12900.0,-368367.5
13000.0,-368649.6
13100.0,-368930.5
13200.0,-369210.0
13300.0,-369488.2
13400.0,-369765.1
13500.0,-370040.8
13600.0,-370315.3
13700.0,-370588.6
13800.0,-370860.7
13900.0,-371131.6
14000.0,-371401.4
14100.0,-371670.0
14200.0,-371937.6
14300.0,-372204.0
14400.0,-372469.4
14500.0,-372733.6
14600.0,-372996.9
14700.0,-373259.1
14800.0,-373520.3
14900.0,-373780.5
15000.0,-374039.7
15100.0,-374298.0
15200.0,-374555.2
15300.0,-374811.6
15400.0,-375067.0
15500.0,-375321.5
15600.0,-375575.1
15700.0,-375827.8
15800.0,-376079.6
15900.0,-376330.5
16000.0,-376580.6
16100.0,-376829.9
16200.0,-377078.3
16300.0,-377325.9
16400.0,-377572.7
16500.0,-377818.7
16600.0,-378063.9
16700.0,-378308.3
16800.0,-378551.9
16900.0,-378794.8
17000.0,-379037.0
17100.0,-379278.4
17200.0,-379519.0
17300.0,-379759.0
17400.0,-379998.2
17500.0,-380236.8
17600.0,-380474.6
17700.0,-380711.8
17800.0,-380948.2
17900.0,-381184.1
18000.0,-381419.2
18100.0,-381653.7
18200.0,-381887.6
18300.0,-382120.8
18400.0,-382353.4
18500.0,-382585.3
18600.0,-382816.7
18700.0,-383047.4
18800.0,-383277.6
18900.0,-383507.1
19000.0,-383736.1
19100.0,-383964.4
19200.0,-384192.2
19300.0,-384419.5
19400.0,-384646.1
19500.0,-384872.3
19600.0,-385097.8
19700.0,-385322.9
19800.0,-385547.3
19900.0,-385771.3
20000.0,-385994.7
20100.0,-386217.6
20200.0,-386440.0
20300.0,-386661.9
20400.0,-386883.3
20500.0,-387104.2
20600.0,-387324.6
20700.0,-387544.5
20800.0,-387763.9
20900.0,-387982.9
21000.0,-388201.3
21100.0,-388419.3
21200.0,-388636.9
21300.0,-388854.0
21400.0,-389070.6
21500.0,-389286.8
21600.0,-389502.5
21700.0,-389717.8
21800.0,-389932.7
21900.0,-390147.1
22000.0,-390361.1
22100.0,-390574.7
22200.0,-390787.8
22300.0,-391000.6
22400.0,-391212.9
22500.0,-391424.8
22600.0,-391636.3
22700.0,-391847.5
22800.0,-392058.2
22900.0,-392268.5
23000.0,-392478.5
23100.0,-392688.0
23200.0,-392897.2
23300.0,-393106.0
23400.0,-393314.4
23500.0,-393522.5
23600.0,-393730.2
23700.0,-393937.5
23800.0,-394144.5
23900.0,-394351.1
24000.0,-394557.3
24100.0,-394763.2
24200.0,-394968.8
24300.0,-395174.0
24400.0,-395378.8
24500.0,-395583.4
24600.0,-395787.6
24700.0,-395991.4
24800.0,-396194.9
24900.0,-396398.1
25000.0,-396601.0
