P,G (J/mol)
1000.0,-63291.21
1100.0,-63661.14
1200.0,-64019.37
1300.0,-64366.43
1400.0,-64702.83
1500.0,-65029.09
1600.0,-65345.73
1700.0,-65653.22
1800.0,-65952.03
1900.0,-66242.59
2000.0,-66525.31
2100.0,-66800.57
2200.0,-67068.75
2300.0,-67330.17
2400.0,-67585.15
2500.0,-67833.99
2600.0,-68076.98
2700.0,-68314.37
2800.0,-68546.41
2900.0,-68773.34
3000.0,-68995.38
3100.0,-69212.72
3200.0,-69425.58
3300.0,-69634.12
3400.0,-69838.54
3500.0,-70038.98
3600.0,-70235.61
3700.0,-70428.58
3800.0,-70618.03
3900.0,-70804.08
4000.0,-70986.88
4100.0,-71166.53
4200.0,-71343.15
4300.0,-71516.86
4400.0,-71687.75
4500.0,-71855.94
4600.0,-72021.5
4700.0,-72184.54
4800.0,-72345.13
4900.0,-72503.37
5000.0,-72659.34
5100.0,-72813.1
5200.0,-72964.73
5300.0,-73114.31
5400.0,-73261.9
5500.0,-73407.56
5600.0,-73551.35
5700.0,-73693.34
5800.0,-73833.58
5900.0,-73972.11
6000.0,-74109.0
6100.0,-74244.28
6200.0,-74378.01
6300.0,-74510.23
6400.0,-74640.98
6500.0,-74770.3
6600.0,-74898.23
6700.0,-75024.81
6800.0,-75150.07
6900.0,-75274.05
7000.0,-75396.78
7100.0,-75518.29
7200.0,-75638.61
7300.0,-75757.77
7400.0,-75875.8
7500.0,-75992.73
7600.0,-76108.58
7700.0,-76223.38
7800.0,-76337.16
7900.0,-76449.93
8000.0,-76561.72
8100.0,-76672.55
8200.0,-76782.44
8300.0,-76891.41
8400.0,-76999.49
8500.0,-77106.69
8600.0,-77213.03
8700.0,-77318.53
8800.0,-77423.2
8900.0,-77527.07
9000.0,-77630.15
9100.0,-77732.45
9200.0,-77833.99
9300.0,-77934.79
9400.0,-78034.86
9500.0,-78134.21
9600.0,-78232.86
9700.0,-78330.82
9800.0,-78428.11
9900.0,-78524.73
10000.0,-78620.7
10100.0,-78716.03
10200.0,-78810.74
10300.0,-78904.83
10400.0,-78998.31
10500.0,-79091.2
10600.0,-79183.5
10700.0,-79275.23
10800.0,-79366.39
10900.0,-79457.0
11000.0,-79547.07
11100.0,-79636.59
11200.0,-79725.59
11300.0,-79814.07
11400.0,-79902.04
11500.0,-79989.51
11600.0,-80076.49
11700.0,-80162.97
11800.0,-80248.98
11900.0,-80334.52
12000.0,-80419.6
12100.0,-80504.21
12200.0,-80588.38
12300.0,-80672.11
12400.0,-80755.4
12500.0,-80838.26
12600.0,-80920.69
12700.0,-81002.71
12800.0,-81084.32
12900.0,-81165.53
13000.0,-81246.33
13100.0,-81326.74
13200.0,-81406.76
13300.0,-81486.41
13400.0,-81565.67
13500.0,-81644.56
13600.0,-81723.09
13700.0,-81801.25
13800.0,-81879.06
13900.0,-81956.51
14000.0,-82033.62
14100.0,-82110.39
14200.0,-82186.82
14300.0,-82262.91
14400.0,-82338.68
14500.0,-82414.12
14600.0,-82489.24
14700.0,-82564.04
14800.0,-82638.53
14900.0,-82712.72
15000.0,-82786.59
15100.0,-82860.17
15200.0,-82933.45
15300.0,-83006.44
15400.0,-83079.14
15500.0,-83151.55
15600.0,-83223.68
15700.0,-83295.53
15800.0,-83367.1
15900.0,-83438.4
16000.0,-83509.43
16100.0,-83580.2
16200.0,-83650.7
16300.0,-83720.94
16400.0,-83790.92
16500.0,-83860.65
16600.0,-83930.13
16700.0,-83999.36
16800.0,-84068.35
16900.0,-84137.09
17000.0,-84205.59
17100.0,-84273.86
17200.0,-84341.89
17300.0,-84409.69
17400.0,-84477.26
17500.0,-84544.6
17600.0,-84611.71
17700.0,-84678.61
17800.0,-84745.28
17900.0,-84811.74
18000.0,-84877.98
18100.0,-84944.01
18200.0,-85009.83
18300.0,-85075.44
18400.0,-85140.85
18500.0,-85206.05
18600.0,-85271.04
18700.0,-85335.84
18800.0,-85400.44
18900.0,-85464.84
19000.0,-85529.05
19100.0,-85593.07
19200.0,-85656.9
19300.0,-85720.54
19400.0,-85783.99
19500.0,-85847.26
19600.0,-85910.35
19700.0,-85973.25
19800.0,-86035.98
19900.0,-86098.52
20000.0,-86160.9
20100.0,-86223.1
20200.0,-86285.12
20300.0,-86346.98
20400.0,-86408.66
20500.0,-86470.18
20600.0,-86531.53
20700.0,-86592.72
20800.0,-86653.75
20900.0,-86714.61
21000.0,-86775.31
21100.0,-86835.86
21200.0,-86896.24
21300.0,-86956.48
21400.0,-87016.55
21500.0,-87076.48
21600.0,-87136.25
21700.0,-87195.88
21800.0,-87255.35
21900.0,-87314.68
22000.0,-87373.86
22100.0,-87432.89
22200.0,-87491.79
22300.0,-87550.53
22400.0,-87609.14
22500.0,-87667.61
22600.0,-87725.94
22700.0,-87784.13
22800.0,-87842.19
22900.0,-87900.11
23000.0,-87957.89
23100.0,-88015.55
23200.0,-88073.07
23300.0,-88130.46
23400.0,-88187.72
23500.0,-88244.85
23600.0,-88301.85
23700.0,-88358.73
23800.0,-88415.48
23900.0,-88472.11
24000.0,-88528.61
24100.0,-88584.99
24200.0,-88641.25
24300.0,-88697.39
24400.0,-88753.41
24500.0,-88809.31
24600.0,-88865.1
24700.0,-88920.76
24800.0,-88976.31
24900.0,-89031.75
25000.0,-89087.07
