P,G (J/mol)
1000.0,-418569.0
1100.0,-418938.5
1200.0,-419296.4
1300.0,-419643.1
1400.0,-419979.2
1500.0,-420305.1
1600.0,-420621.4
1700.0,-420928.5
1800.0,-421226.8
1900.0,-421516.7
2000.0,-421798.8
2100.0,-422073.3
2200.0,-422340.6
2300.0,-422601.0
2400.0,-422855.0
2500.0,-423102.7
2600.0,-423344.5
2700.0,-423580.6
2800.0,-423811.3
2900.0,-424036.8
3000.0,-424257.3
3100.0,-424473.1
3200.0,-424684.3
3300.0,-424891.1
3400.0,-425093.7
3500.0,-425292.3
3600.0,-425487.1
3700.0,-425678.1
3800.0,-425865.5
3900.0,-426049.5
4000.0,-426230.2
4100.0,-426407.7
4200.0,-426582.1
4300.0,-426753.6
4400.0,-426922.2
4500.0,-427088.0
4600.0,-427251.2
4700.0,-427411.9
4800.0,-427570.1
4900.0,-427725.8
5000.0,-427879.3
5100.0,-428030.6
5200.0,-428179.7
5300.0,-428326.7
5400.0,-428471.7
5500.0,-428614.7
5600.0,-428755.9
5700.0,-428895.3
5800.0,-429032.8
5900.0,-429168.7
6000.0,-429302.9
6100.0,-429435.5
6200.0,-429566.5
6300.0,-429696.0
6400.0,-429824.0
6500.0,-429950.5
6600.0,-430075.7
6700.0,-430199.5
6800.0,-430321.9
6900.0,-430443.1
7000.0,-430563.0
7100.0,-430681.7
7200.0,-430799.2
7300.0,-430915.6
7400.0,-431030.8
7500.0,-431144.8
7600.0,-431257.8
7700.0,-431369.8
7800.0,-431480.7
7900.0,-431590.6
8000.0,-431699.5
8100.0,-431807.5
8200.0,-431914.5
8300.0,-432020.6
8400.0,-432125.7
8500.0,-432230.0
8600.0,-432333.5
8700.0,-432436.1
8800.0,-432537.9
8900.0,-432638.8
9000.0,-432739.0
9100.0,-432838.4
9200.0,-432937.0
9300.0,-433034.9
9400.0,-433132.0
9500.0,-433228.5
9600.0,-433324.2
9700.0,-433419.2
9800.0,-433513.6
9900.0,-433607.3
10000.0,-433700.3
10100.0,-433792.7
10200.0,-433884.5
10300.0,-433975.7
10400.0,-434066.2
10500.0,-434156.2
10600.0,-434245.6
10700.0,-434334.3
10800.0,-434422.6
10900.0,-434510.3
11000.0,-434597.4
11100.0,-434684.0
11200.0,-434770.0
11300.0,-434855.6
11400.0,-434940.6
11500.0,-435025.2
11600.0,-435109.2
11700.0,-435192.8
11800.0,-435275.8
11900.0,-435358.4
12000.0,-435440.6
12100.0,-435522.3
12200.0,-435603.5
12300.0,-435684.3
12400.0,-435764.6
12500.0,-435844.6
12600.0,-435924.1
12700.0,-436003.2
12800.0,-436081.8
12900.0,-436160.1
13000.0,-436238.0
13100.0,-436315.5
13200.0,-436392.6
13300.0,-436469.3
13400.0,-436545.6
13500.0,-436621.6
13600.0,-436697.2
13700.0,-436772.4
13800.0,-436847.3
13900.0,-436921.8
14000.0,-436996.0
14100.0,-437069.9
14200.0,-437143.4
14300.0,-437216.5
14400.0,-437289.4
14500.0,-437361.9
14600.0,-437434.1
14700.0,-437506.0
14800.0,-437577.6
14900.0,-437648.8
15000.0,-437719.8
15100.0,-437790.5
15200.0,-437860.8
15300.0,-437930.9
15400.0,-438000.7
15500.0,-438070.2
15600.0,-438139.4
15700.0,-438208.4
15800.0,-438277.0
15900.0,-438345.4
16000.0,-438413.6
16100.0,-438481.4
16200.0,-438549.0
16300.0,-438616.4
16400.0,-438683.4
16500.0,-438750.3
16600.0,-438816.8
16700.0,-438883.2
16800.0,-438949.3
16900.0,-439015.1
17000.0,-439080.7
17100.0,-439146.1
17200.0,-439211.2
17300.0,-439276.1
17400.0,-439340.8
17500.0,-439405.3
17600.0,-439469.5
17700.0,-439533.5
17800.0,-439597.3
17900.0,-439660.9
18000.0,-439724.2
18100.0,-439787.4
18200.0,-439850.3
18300.0,-439913.0
18400.0,-439975.6
18500.0,-440037.9
18600.0,-440100.0
18700.0,-440161.9
18800.0,-440223.6
18900.0,-440285.2
19000.0,-440346.5
19100.0,-440407.6
19200.0,-440468.6
19300.0,-440529.4
19400.0,-440589.9
19500.0,-440650.3
19600.0,-440710.6
19700.0,-440770.6
19800.0,-440830.5
19900.0,-440890.1
20000.0,-440949.7
20100.0,-441009.0
20200.0,-441068.2
20300.0,-441127.1
20400.0,-441186.0
20500.0,-441244.6
20600.0,-441303.1
20700.0,-441361.5
20800.0,-441419.6
20900.0,-441477.6
21000.0,-441535.5
21100.0,-441593.2
21200.0,-441650.7
21300.0,-441708.1
21400.0,-441765.3
21500.0,-441822.4
21600.0,-441879.3
21700.0,-441936.1
21800.0,-441992.7
21900.0,-442049.2
22000.0,-442105.5
22100.0,-442161.7
22200.0,-442217.8
22300.0,-442273.7
22400.0,-442329.5
22500.0,-442385.1
22600.0,-442440.6
22700.0,-442495.9
22800.0,-442551.1
22900.0,-442606.2
23000.0,-442661.2
23100.0,-442716.0
23200.0,-442770.7
23300.0,-442825.2
23400.0,-442879.7
23500.0,-442934.0
23600.0,-442988.1
23700.0,-443042.2
23800.0,-443096.1
23900.0,-443149.9
24000.0,-443203.6
24100.0,-443257.2
24200.0,-443310.6
24300.0,-443363.9
24400.0,-443417.1
24500.0,-443470.2
24600.0,-443523.1
24700.0,-443576.0
24800.0,-443628.7
24900.0,-443681.3
25000.0,-443733.8
