P(bar),g(J/mol)
1000,-405024.3
1100,-405376.1
1200,-405754
1300,-406145.4
1400,-406542.6
1500,-406940.7
1600,-407336.5
1700,-407728
1800,-408113.8
1900,-408493
2000,-408865.2
2100,-409230
2200,-409587.3
2300,-409937.1
2400,-410279.3
2500,-410614.2
2600,-410941.9
2700,-411262.4
2800,-411576
2900,-411882.9
3000,-412183.3
3100,-412477.3
3200,-412765.2
3300,-413047.2
3400,-413323.4
3500,-413594
3600,-413859.2
3700,-414119.2
3800,-414374.2
3900,-414624.3
4000,-414869.6
4100,-415110.4
4200,-415346.7
4300,-415578.7
4400,-415806.6
4500,-416030.5
4600,-416250.4
4700,-416466.6
4800,-416679.1
4900,-416888
5000,-417093.5
5100,-417295.7
5200,-417494.6
5300,-417690.3
5400,-417883
5500,-418072.8
5600,-418259.6
5700,-418443.7
5800,-418625
5900,-418803.7
6000,-418979.9
6100,-419153.5
6200,-419324.7
6300,-419493.6
6400,-419660.1
6500,-419824.5
6600,-419986.7
6700,-420146.7
6800,-420304.7
6900,-420460.7
7000,-420614.8
7100,-420767
7200,-420917.3
7300,-421065.9
7400,-421212.7
7500,-421357.8
7600,-421501.3
7700,-421643.2
7800,-421783.5
7900,-421922.3
8000,-422059.6
8100,-422195.4
8200,-422329.9
8300,-422462.9
8400,-422594.7
8500,-422725.1
8600,-422854.3
8700,-422982.2
8800,-423108.9
8900,-423234.4
9000,-423358.8
9100,-423482
9200,-423604.1
9300,-423725.2
9400,-423845.1
9500,-423964.1
9600,-424082
9700,-424198.9
9800,-424314.9
9900,-424429.9
10000,-424544
10100,-424657.2
10200,-424769.5
10300,-424880.9
10400,-424991.4
10500,-425101.1
10600,-425210
10700,-425318.1
10800,-425425.3
10900,-425531.8
11000,-425637.5
11100,-425742.5
11200,-425846.8
11300,-425950.3
11400,-426053.1
11500,-426155.2
11600,-426256.6
11700,-426357.4
11800,-426457.5
11900,-426556.9
12000,-426655.7
12100,-426753.9
12200,-426851.4
12300,-426948.4
12400,-427044.7
12500,-427140.5
12600,-427235.7
12700,-427330.3
12800,-427424.4
12900,-427517.9
13000,-427610.8
13100,-427703.3
13200,-427795.2
13300,-427886.6
13400,-427977.5
13500,-428067.8
13600,-428157.7
13700,-428247.1
13800,-428336
13900,-428424.5
14000,-428512.5
14100,-428600
14200,-428687.1
14300,-428773.7
14400,-428859.9
14500,-428945.6
14600,-429031
14700,-429115.9
14800,-429200.4
14900,-429284.5
15000,-429368.1
15100,-429451.4
15200,-429534.3
15300,-429616.8
15400,-429698.9
15500,-429780.7
15600,-429862
15700,-429943
15800,-430023.7
15900,-430104
16000,-430183.9
16100,-430263.5
16200,-430342.7
16300,-430421.6
16400,-430500.2
16500,-430578.4
16600,-430656.3
16700,-430733.9
16800,-430811.1
16900,-430888
17000,-430964.7
17100,-431041
17200,-431117
17300,-431192.7
17400,-431268.1
17500,-431343.2
17600,-431418.1
17700,-431492.6
17800,-431566.9
17900,-431640.8
18000,-431714.5
18100,-431788
18200,-431861.1
18300,-431934
18400,-432006.6
18500,-432079
18600,-432151.1
18700,-432222.9
18800,-432294.5
18900,-432365.8
19000,-432436.9
19100,-432507.7
19200,-432578.3
19300,-432648.7
19400,-432718.8
19500,-432788.7
19600,-432858.3
19700,-432927.8
19800,-432997
19900,-433065.9
20000,-433134.7
20100,-433203.2
20200,-433271.5
20300,-433339.6
20400,-433407.4
20500,-433475.1
20600,-433542.5
20700,-433609.8
20800,-433676.8
20900,-433743.6
21000,-433810.2
21100,-433876.7
21200,-433942.9
21300,-434008.9
21400,-434074.7
21500,-434140.4
21600,-434205.8
21700,-434271.1
21800,-434336.2
21900,-434401
22000,-434465.7
22100,-434530.3
22200,-434594.6
22300,-434658.8
22400,-434722.8
22500,-434786.6
22600,-434850.2
22700,-434913.7
22800,-434976.9
22900,-435040.1
23000,-435103
23100,-435165.8
23200,-435228.4
23300,-435290.9
23400,-435353.2
23500,-435415.3
23600,-435477.3
23700,-435539.1
23800,-435600.8
23900,-435662.3
24000,-435723.6
24100,-435784.8
24200,-435845.9
24300,-435906.8
24400,-435967.5
24500,-436028.1
24600,-436088.6
24700,-436148.9
24800,-436209
24900,-436269.1
25000,-436328.9
