P,G (J/mol)
1000.0,-59462.46
1100.0,-58671.7
1200.0,-57931.55
1300.0,-57233.7
1400.0,-56571.73
1500.0,-55940.57
1600.0,-55336.16
1700.0,-54755.17
1800.0,-54194.88
1900.0,-53652.99
2000.0,-53127.58
2100.0,-52617.01
2200.0,-52119.88
2300.0,-51634.97
2400.0,-51161.23
2500.0,-50697.72
2600.0,-50243.65
2700.0,-49798.28
2800.0,-49360.98
2900.0,-48931.17
3000.0,-48508.35
3100.0,-48092.05
3200.0,-47681.85
3300.0,-47277.37
3400.0,-46878.28
3500.0,-46484.26
3600.0,-46095.03
3700.0,-45710.31
3800.0,-45329.87
3900.0,-44953.49
4000.0,-44580.96
4100.0,-44212.09
4200.0,-43846.7
4300.0,-43484.64
4400.0,-43125.74
4500.0,-42769.87
4600.0,-42416.9
4700.0,-42066.7
4800.0,-41719.15
4900.0,-41374.15
5000.0,-41031.59
5100.0,-40691.38
5200.0,-40353.43
5300.0,-40017.65
5400.0,-39683.96
5500.0,-39352.29
5600.0,-39022.56
5700.0,-38694.7
5800.0,-38368.66
5900.0,-38044.36
6000.0,-37721.76
6100.0,-37400.79
6200.0,-37081.41
6300.0,-36763.56
6400.0,-36447.19
6500.0,-36132.27
6600.0,-35818.74
6700.0,-35506.57
6800.0,-35195.71
6900.0,-34886.13
7000.0,-34577.79
7100.0,-34270.66
7200.0,-33964.7
7300.0,-33659.88
7400.0,-33356.18
7500.0,-33053.55
7600.0,-32751.98
7700.0,-32451.44
7800.0,-32151.89
7900.0,-31853.32
8000.0,-31555.71
8100.0,-31259.01
8200.0,-30963.23
8300.0,-30668.33
8400.0,-30374.29
8500.0,-30081.09
8600.0,-29788.72
8700.0,-29497.15
8800.0,-29206.37
8900.0,-28916.35
9000.0,-28627.09
9100.0,-28338.57
9200.0,-28050.76
9300.0,-27763.66
9400.0,-27477.25
9500.0,-27191.52
9600.0,-26906.44
9700.0,-26622.02
9800.0,-26338.23
9900.0,-26055.06
10000.0,-25772.5
10100.0,-25490.55
10200.0,-25209.17
10300.0,-24928.38
10400.0,-24648.14
10500.0,-24368.46
10600.0,-24089.33
10700.0,-23810.73
10800.0,-23532.65
10900.0,-23255.08
11000.0,-22978.03
11100.0,-22701.46
11200.0,-22425.39
11300.0,-22149.79
11400.0,-21874.66
11500.0,-21600.0
11600.0,-21325.79
11700.0,-21052.03
11800.0,-20778.71
11900.0,-20505.82
12000.0,-20233.35
12100.0,-19961.3
12200.0,-19689.67
12300.0,-19418.44
12400.0,-19147.61
12500.0,-18877.17
12600.0,-18607.11
12700.0,-18337.44
12800.0,-18068.14
12900.0,-17799.2
13000.0,-17530.63
13100.0,-17262.42
13200.0,-16994.56
13300.0,-16727.05
13400.0,-16459.88
13500.0,-16193.04
13600.0,-15926.54
13700.0,-15660.37
13800.0,-15394.51
13900.0,-15128.98
14000.0,-14863.75
14100.0,-14598.84
14200.0,-14334.23
14300.0,-14069.92
14400.0,-13805.91
14500.0,-13542.19
14600.0,-13278.76
14700.0,-13015.62
14800.0,-12752.75
14900.0,-12490.16
15000.0,-12227.85
15100.0,-11965.8
15200.0,-11704.02
15300.0,-11442.51
15400.0,-11181.25
15500.0,-10920.25
15600.0,-10659.5
15700.0,-10399.0
15800.0,-10138.75
15900.0,-9878.744
16000.0,-9618.977
16100.0,-9359.448
16200.0,-9100.154
16300.0,-8841.092
16400.0,-8582.259
16500.0,-8323.652
16600.0,-8065.269
16700.0,-7807.107
16800.0,-7549.164
16900.0,-7291.436
17000.0,-7033.923
17100.0,-6776.62
17200.0,-6519.525
17300.0,-6262.637
17400.0,-6005.953
17500.0,-5749.47
17600.0,-5493.187
17700.0,-5237.101
17800.0,-4981.21
17900.0,-4725.511
18000.0,-4470.003
18100.0,-4214.684
18200.0,-3959.551
18300.0,-3704.603
18400.0,-3449.837
18500.0,-3195.252
18600.0,-2940.846
18700.0,-2686.617
18800.0,-2432.562
18900.0,-2178.681
19000.0,-1924.971
19100.0,-1671.43
19200.0,-1418.057
19300.0,-1164.851
19400.0,-911.8088
19500.0,-658.9295
19600.0,-406.2113
19700.0,-153.6526
19800.0,98.74815
19900.0,350.9925
20000.0,603.0821
20100.0,855.0184
20200.0,1106.803
20300.0,1358.437
20400.0,1609.922
20500.0,1861.26
20600.0,2112.452
20700.0,2363.499
20800.0,2614.403
20900.0,2865.165
21000.0,3115.786
21100.0,3366.268
21200.0,3616.612
21300.0,3866.819
21400.0,4116.891
21500.0,4366.829
21600.0,4616.634
21700.0,4866.307
21800.0,5115.849
21900.0,5365.262
22000.0,5614.547
22100.0,5863.705
22200.0,6112.736
22300.0,6361.643
22400.0,6610.426
22500.0,6859.087
22600.0,7107.625
22700.0,7356.044
22800.0,7604.343
22900.0,7852.523
23000.0,8100.586
23100.0,8348.532
23200.0,8596.363
23300.0,8844.08
23400.0,9091.683
23500.0,9339.173
23600.0,9586.552
23700.0,9833.82
23800.0,10080.98
23900.0,10328.03
24000.0,10574.97
24100.0,10821.8
24200.0,11068.53
24300.0,11315.15
24400.0,11561.67
24500.0,11808.09
24600.0,12054.4
24700.0,12300.61
24800.0,12546.72
24900.0,12792.73
25000.0,13038.63
