P(bar),g(J/mol)
1000,-856849.6
1100,-856891
1200,-856896.7
1300,-856875.2
1400,-856832
1500,-856771.4
1600,-856696.4
1700,-856609.4
1800,-856512.1
1900,-856406
2000,-856292.4
2100,-856172.1
2200,-856046
2300,-855914.6
2400,-855778.7
2500,-855638.6
2600,-855494.7
2700,-855347.4
2800,-855197.1
2900,-855043.9
3000,-854888.1
3100,-854730
3200,-854569.7
3300,-854407.3
3400,-854243
3500,-854077
3600,-853909.4
3700,-853740.2
3800,-853569.6
3900,-853397.7
4000,-853224.6
4100,-853050.2
4200,-852874.7
4300,-852698.2
4400,-852520.7
4500,-852342.2
4600,-852162.9
4700,-851982.7
4800,-851801.7
4900,-851620
5000,-851437.5
5100,-851254.3
5200,-851070.5
5300,-850886
5400,-850701
5500,-850515.3
5600,-850329.1
5700,-850142.4
5800,-849955.2
5900,-849767.4
6000,-849579.3
6100,-849390.6
6200,-849201.5
6300,-849012.1
6400,-848822.2
6500,-848631.9
6600,-848441.2
6700,-848250.2
6800,-848058.9
6900,-847867.2
7000,-847675.2
7100,-847482.8
7200,-847290.2
7300,-847097.3
7400,-846904
7500,-846710.6
7600,-846516.8
7700,-846322.8
7800,-846128.5
7900,-845934
8000,-845739.3
8100,-845544.3
8200,-845349.1
8300,-845153.7
8400,-844958.1
8500,-844762.2
8600,-844566.2
8700,-844370
8800,-844173.6
8900,-843977
9000,-843780.2
9100,-843583.2
9200,-843386.1
9300,-843188.8
9400,-842991.4
9500,-842793.8
9600,-842596
9700,-842398.1
9800,-842200
9900,-842001.8
10000,-841803.5
10100,-841605
10200,-841406.4
10300,-841207.7
10400,-841008.8
10500,-840809.8
10600,-840610.7
10700,-840411.4
10800,-840212.1
10900,-840012.6
11000,-839813
11100,-839613.3
11200,-839413.5
11300,-839213.6
11400,-839013.6
11500,-838813.5
11600,-838613.3
11700,-838413
11800,-838212.6
11900,-838012.1
12000,-837811.5
12100,-837610.8
12200,-837410.1
12300,-837209.2
12400,-837008.3
12500,-836807.3
12600,-836606.2
12700,-836405
12800,-836203.7
12900,-836002.4
13000,-835801
13100,-835599.5
13200,-835397.9
13300,-835196.3
13400,-834994.6
13500,-834792.8
13600,-834590.9
13700,-834389
13800,-834187
13900,-833985
14000,-833782.9
14100,-833580.7
14200,-833378.5
14300,-833176.2
14400,-832973.8
14500,-832771.4
14600,-832568.9
14700,-832366.4
14800,-832163.8
14900,-831961.2
15000,-831758.5
15100,-831555.7
15200,-831352.9
15300,-831150.1
15400,-830947.2
15500,-830744.2
15600,-830541.2
15700,-830338.1
15800,-830135
15900,-829931.9
16000,-829728.7
16100,-829525.4
16200,-829322.1
16300,-829118.8
16400,-828915.4
16500,-828712
16600,-828508.5
16700,-828305
16800,-828101.4
16900,-827897.8
17000,-827694.2
17100,-827490.5
17200,-827286.8
17300,-827083
17400,-826879.2
17500,-826675.4
17600,-826471.5
17700,-826267.6
17800,-826063.6
17900,-825859.7
18000,-825655.6
18100,-825451.6
18200,-825247.5
18300,-825043.4
18400,-824839.2
18500,-824635
18600,-824430.8
18700,-824226.5
18800,-824022.2
18900,-823817.9
19000,-823613.5
19100,-823409.1
19200,-823204.7
19300,-823000.3
19400,-822795.8
19500,-822591.3
19600,-822386.7
19700,-822182.2
19800,-821977.6
19900,-821772.9
20000,-821568.3
20100,-821363.6
20200,-821158.9
20300,-820954.1
20400,-820749.4
20500,-820544.6
20600,-820339.7
20700,-820134.9
20800,-819930
20900,-819725.1
21000,-819520.2
21100,-819315.2
21200,-819110.3
21300,-818905.3
21400,-818700.3
21500,-818495.2
21600,-818290.1
21700,-818085
21800,-817879.9
21900,-817674.8
22000,-817469.6
22100,-817264.4
22200,-817059.2
22300,-816854
22400,-816648.7
22500,-816443.5
22600,-816238.2
22700,-816032.9
22800,-815827.5
22900,-815622.2
23000,-815416.8
23100,-815211.4
23200,-815006
23300,-814800.5
23400,-814595.1
23500,-814389.6
23600,-814184.1
23700,-813978.6
23800,-813773
23900,-813567.5
24000,-813361.9
24100,-813156.3
24200,-812950.7
24300,-812745.1
24400,-812539.4
24500,-812333.8
24600,-812128.1
24700,-811922.4
24800,-811716.7
24900,-811510.9
25000,-811305.2
