P,G (J/mol)
1000.0,-862828.3
1100.0,-863739.1
1200.0,-864381.7
1300.0,-864846.7
1400.0,-865187.8
1500.0,-865438.8
1600.0,-865622.1
1700.0,-865752.9
1800.0,-865842.2
1900.0,-865897.9
2000.0,-865926.1
2100.0,-865931.2
2200.0,-865917.1
2300.0,-865886.3
2400.0,-865841.4
2500.0,-865784.0
2600.0,-865715.9
2700.0,-865638.1
2800.0,-865551.9
2900.0,-865458.2
3000.0,-865357.6
3100.0,-865250.9
3200.0,-865138.7
3300.0,-865021.5
3400.0,-864899.7
3500.0,-864773.7
3600.0,-864643.8
3700.0,-864510.4
3800.0,-864373.7
3900.0,-864233.9
4000.0,-864091.4
4100.0,-863946.2
4200.0,-863798.6
4300.0,-863648.7
4400.0,-863496.6
4500.0,-863342.6
4600.0,-863186.7
4700.0,-863029.0
4800.0,-862869.6
4900.0,-862708.7
5000.0,-862546.3
5100.0,-862382.5
5200.0,-862217.3
5300.0,-862050.9
5400.0,-861883.3
5500.0,-861714.5
5600.0,-861544.7
5700.0,-861373.8
5800.0,-861202.0
5900.0,-861029.2
6000.0,-860855.5
6100.0,-860680.9
6200.0,-860505.5
6300.0,-860329.3
6400.0,-860152.4
6500.0,-859974.8
6600.0,-859796.4
6700.0,-859617.4
6800.0,-859437.7
6900.0,-859257.4
7000.0,-859076.6
7100.0,-858895.1
7200.0,-858713.1
7300.0,-858530.6
7400.0,-858347.5
7500.0,-858164.0
7600.0,-857980.0
7700.0,-857795.5
7800.0,-857610.6
7900.0,-857425.2
8000.0,-857239.4
8100.0,-857053.2
8200.0,-856866.6
8300.0,-856679.7
8400.0,-856492.4
8500.0,-856304.7
8600.0,-856116.6
8700.0,-855928.3
8800.0,-855739.5
8900.0,-855550.5
9000.0,-855361.2
9100.0,-855171.6
9200.0,-854981.7
9300.0,-854791.4
9400.0,-854601.0
9500.0,-854410.2
9600.0,-854219.2
9700.0,-854027.9
9800.0,-853836.4
9900.0,-853644.7
10000.0,-853452.7
10100.0,-853260.5
10200.0,-853068.0
10300.0,-852875.3
10400.0,-852682.5
10500.0,-852489.4
10600.0,-852296.1
10700.0,-852102.6
10800.0,-851908.9
10900.0,-851715.0
11000.0,-851521.0
11100.0,-851326.7
11200.0,-851132.3
11300.0,-850937.7
11400.0,-850743.0
11500.0,-850548.0
11600.0,-850352.9
11700.0,-850157.7
11800.0,-849962.3
11900.0,-849766.7
12000.0,-849571.0
12100.0,-849375.2
12200.0,-849179.2
12300.0,-848983.1
12400.0,-848786.8
12500.0,-848590.4
12600.0,-848393.8
12700.0,-848197.2
12800.0,-848000.4
12900.0,-847803.5
13000.0,-847606.4
13100.0,-847409.3
13200.0,-847212.0
13300.0,-847014.6
13400.0,-846817.1
13500.0,-846619.5
13600.0,-846421.7
13700.0,-846223.9
13800.0,-846026.0
13900.0,-845827.9
14000.0,-845629.8
14100.0,-845431.5
14200.0,-845233.2
14300.0,-845034.8
14400.0,-844836.2
14500.0,-844637.6
14600.0,-844438.9
14700.0,-844240.1
14800.0,-844041.2
14900.0,-843842.2
15000.0,-843643.1
15100.0,-843444.0
15200.0,-843244.7
15300.0,-843045.4
15400.0,-842846.0
15500.0,-842646.5
15600.0,-842447.0
15700.0,-842247.3
15800.0,-842047.6
15900.0,-841847.9
16000.0,-841648.0
16100.0,-841448.1
16200.0,-841248.1
16300.0,-841048.0
16400.0,-840847.9
16500.0,-840647.7
16600.0,-840447.4
16700.0,-840247.1
16800.0,-840046.7
16900.0,-839846.2
17000.0,-839645.7
17100.0,-839445.1
17200.0,-839244.4
17300.0,-839043.7
17400.0,-838842.9
17500.0,-838642.1
17600.0,-838441.2
17700.0,-838240.2
17800.0,-838039.2
17900.0,-837838.2
18000.0,-837637.1
18100.0,-837435.9
18200.0,-837234.7
18300.0,-837033.4
18400.0,-836832.1
18500.0,-836630.7
18600.0,-836429.3
18700.0,-836227.8
18800.0,-836026.2
18900.0,-835824.7
19000.0,-835623.0
19100.0,-835421.4
19200.0,-835219.6
19300.0,-835017.9
19400.0,-834816.1
19500.0,-834614.2
19600.0,-834412.3
19700.0,-834210.4
19800.0,-834008.4
19900.0,-833806.3
20000.0,-833604.3
20100.0,-833402.1
20200.0,-833200.0
20300.0,-832997.8
20400.0,-832795.5
20500.0,-832593.2
20600.0,-832390.9
20700.0,-832188.6
20800.0,-831986.2
20900.0,-831783.7
21000.0,-831581.3
21100.0,-831378.7
21200.0,-831176.2
21300.0,-830973.6
21400.0,-830771.0
21500.0,-830568.3
21600.0,-830365.6
21700.0,-830162.9
21800.0,-829960.1
21900.0,-829757.3
22000.0,-829554.5
22100.0,-829351.6
22200.0,-829148.7
22300.0,-828945.8
22400.0,-828742.8
22500.0,-828539.8
22600.0,-828336.8
22700.0,-828133.8
22800.0,-827930.7
22900.0,-827727.5
23000.0,-827524.4
23100.0,-827321.2
23200.0,-827118.0
23300.0,-826914.8
23400.0,-826711.5
23500.0,-826508.2
23600.0,-826304.9
23700.0,-826101.5
23800.0,-825898.1
23900.0,-825694.7
24000.0,-825491.3
24100.0,-825287.8
24200.0,-825084.3
24300.0,-824880.8
24400.0,-824677.2
24500.0,-824473.7
24600.0,-824270.1
24700.0,-824066.4
24800.0,-823862.8
24900.0,-823659.1
25000.0,-823455.4
