P,Log K
1000.0,28.68358
1100.0,28.81713
1200.0,28.92794
1300.0,29.02329
1400.0,29.10757
1500.0,29.18357
1600.0,29.25319
1700.0,29.31774
1800.0,29.37818
1900.0,29.43522
2000.0,29.48941
2100.0,29.54116
2200.0,29.59083
2300.0,29.63869
2400.0,29.68495
2500.0,29.72981
2600.0,29.77342
2700.0,29.81591
2800.0,29.8574
2900.0,29.89798
3000.0,29.93773
3100.0,29.97673
3200.0,30.01504
3300.0,30.05273
3400.0,30.08983
3500.0,30.12639
3600.0,30.16246
3700.0,30.19807
3800.0,30.23324
3900.0,30.26802
4000.0,30.30243
4100.0,30.33648
4200.0,30.37021
4300.0,30.40363
4400.0,30.43677
4500.0,30.46963
4600.0,30.50223
4700.0,30.5346
4800.0,30.56673
4900.0,30.59865
5000.0,30.63036
5100.0,30.66188
5200.0,30.69321
5300.0,30.72437
5400.0,30.75537
5500.0,30.7862
5600.0,30.81688
5700.0,30.84742
5800.0,30.87783
5900.0,30.9081
6000.0,30.93825
6100.0,30.96827
6200.0,30.99819
6300.0,31.02799
6400.0,31.05769
6500.0,31.08729
6600.0,31.1168
6700.0,31.14621
6800.0,31.17553
6900.0,31.20477
7000.0,31.23393
7100.0,31.26301
7200.0,31.29202
7300.0,31.32096
7400.0,31.34982
7500.0,31.37862
7600.0,31.40736
7700.0,31.43603
7800.0,31.46465
7900.0,31.4932
8000.0,31.52171
8100.0,31.55016
8200.0,31.57856
8300.0,31.60691
8400.0,31.63521
8500.0,31.66347
8600.0,31.69169
8700.0,31.71986
8800.0,31.74799
8900.0,31.77609
9000.0,31.80414
9100.0,31.83216
9200.0,31.86014
9300.0,31.88809
9400.0,31.91601
9500.0,31.9439
9600.0,31.97175
9700.0,31.99958
9800.0,32.02737
9900.0,32.05514
10000.0,32.08289
10100.0,32.11061
10200.0,32.1383
10300.0,32.16597
10400.0,32.19362
10500.0,32.22124
10600.0,32.24884
10700.0,32.27643
10800.0,32.30399
10900.0,32.33153
11000.0,32.35906
11100.0,32.38657
11200.0,32.41406
11300.0,32.44153
11400.0,32.46899
11500.0,32.49643
11600.0,32.52386
11700.0,32.55127
11800.0,32.57867
11900.0,32.60606
12000.0,32.63343
12100.0,32.66079
12200.0,32.68814
12300.0,32.71548
12400.0,32.74281
12500.0,32.77012
12600.0,32.79743
12700.0,32.82473
12800.0,32.85202
12900.0,32.8793
13000.0,32.90657
13100.0,32.93383
13200.0,32.96108
13300.0,32.98833
13400.0,33.01557
13500.0,33.0428
13600.0,33.07003
13700.0,33.09725
13800.0,33.12447
13900.0,33.15168
14000.0,33.17888
14100.0,33.20608
14200.0,33.23327
14300.0,33.26046
14400.0,33.28765
14500.0,33.31483
14600.0,33.342
14700.0,33.36918
14800.0,33.39635
14900.0,33.42351
15000.0,33.45068
15100.0,33.47784
15200.0,33.505
15300.0,33.53215
15400.0,33.55931
15500.0,33.58646
15600.0,33.61361
15700.0,33.64076
15800.0,33.66791
15900.0,33.69505
16000.0,33.7222
16100.0,33.74934
16200.0,33.77649
16300.0,33.80363
16400.0,33.83077
16500.0,33.85791
16600.0,33.88506
16700.0,33.9122
16800.0,33.93934
16900.0,33.96648
17000.0,33.99363
17100.0,34.02077
17200.0,34.04791
17300.0,34.07506
17400.0,34.1022
17500.0,34.12935
17600.0,34.1565
17700.0,34.18364
17800.0,34.21079
17900.0,34.23795
18000.0,34.2651
18100.0,34.29225
18200.0,34.31941
18300.0,34.34657
18400.0,34.37373
18500.0,34.40089
18600.0,34.42805
18700.0,34.45522
18800.0,34.48239
18900.0,34.50956
19000.0,34.53673
19100.0,34.5639
19200.0,34.59108
19300.0,34.61826
19400.0,34.64545
19500.0,34.67263
19600.0,34.69982
19700.0,34.72701
19800.0,34.75421
19900.0,34.7814
20000.0,34.80861
20100.0,34.83581
20200.0,34.86302
20300.0,34.89023
20400.0,34.91744
20500.0,34.94466
20600.0,34.97188
20700.0,34.9991
20800.0,35.02633
20900.0,35.05356
21000.0,35.0808
21100.0,35.10804
21200.0,35.13528
21300.0,35.16253
21400.0,35.18978
21500.0,35.21703
21600.0,35.24429
21700.0,35.27155
21800.0,35.29882
21900.0,35.32609
22000.0,35.35336
22100.0,35.38064
22200.0,35.40793
22300.0,35.43521
22400.0,35.4625
22500.0,35.4898
22600.0,35.5171
22700.0,35.5444
22800.0,35.57171
22900.0,35.59903
23000.0,35.62634
23100.0,35.65367
23200.0,35.68099
23300.0,35.70833
23400.0,35.73566
23500.0,35.763
23600.0,35.79035
23700.0,35.8177
23800.0,35.84505
23900.0,35.87241
24000.0,35.89978
24100.0,35.92715
24200.0,35.95452
24300.0,35.9819
24400.0,36.00928
24500.0,36.03667
24600.0,36.06407
24700.0,36.09146
24800.0,36.11887
24900.0,36.14628
25000.0,36.17369
