P,Log K
1000.0,34.88089
1100.0,34.8898
1200.0,34.8972
1300.0,34.90327
1400.0,34.90816
1500.0,34.91201
1600.0,34.91495
1700.0,34.9171
1800.0,34.91853
1900.0,34.91933
2000.0,34.91958
2100.0,34.91933
2200.0,34.91863
2300.0,34.91753
2400.0,34.91607
2500.0,34.91428
2600.0,34.9122
2700.0,34.90985
2800.0,34.90725
2900.0,34.90443
3000.0,34.90141
3100.0,34.8982
3200.0,34.89481
3300.0,34.89128
3400.0,34.88759
3500.0,34.88378
3600.0,34.87984
3700.0,34.87579
3800.0,34.87164
3900.0,34.86739
4000.0,34.86305
4100.0,34.85863
4200.0,34.85413
4300.0,34.84957
4400.0,34.84494
4500.0,34.84025
4600.0,34.8355
4700.0,34.8307
4800.0,34.82586
4900.0,34.82097
5000.0,34.81604
5100.0,34.81107
5200.0,34.80607
5300.0,34.80103
5400.0,34.79597
5500.0,34.79088
5600.0,34.78577
5700.0,34.78063
5800.0,34.77547
5900.0,34.77029
6000.0,34.7651
6100.0,34.75989
6200.0,34.75467
6300.0,34.74943
6400.0,34.74418
6500.0,34.73892
6600.0,34.73366
6700.0,34.72838
6800.0,34.7231
6900.0,34.71782
7000.0,34.71253
7100.0,34.70723
7200.0,34.70193
7300.0,34.69663
7400.0,34.69133
7500.0,34.68603
7600.0,34.68073
7700.0,34.67543
7800.0,34.67013
7900.0,34.66483
8000.0,34.65954
8100.0,34.65425
8200.0,34.64896
8300.0,34.64367
8400.0,34.63839
8500.0,34.63312
8600.0,34.62785
8700.0,34.62259
8800.0,34.61733
8900.0,34.61208
9000.0,34.60683
9100.0,34.60159
9200.0,34.59636
9300.0,34.59114
9400.0,34.58593
9500.0,34.58072
9600.0,34.57552
9700.0,34.57033
9800.0,34.56515
9900.0,34.55998
10000.0,34.55482
10100.0,34.54966
10200.0,34.54452
10300.0,34.53939
10400.0,34.53426
10500.0,34.52915
10600.0,34.52405
10700.0,34.51895
10800.0,34.51387
10900.0,34.5088
11000.0,34.50374
11100.0,34.49869
11200.0,34.49365
11300.0,34.48862
11400.0,34.48361
11500.0,34.4786
11600.0,34.47361
11700.0,34.46863
11800.0,34.46365
11900.0,34.4587
12000.0,34.45375
12100.0,34.44881
12200.0,34.44389
12300.0,34.43898
12400.0,34.43408
12500.0,34.42919
12600.0,34.42432
12700.0,34.41945
12800.0,34.4146
12900.0,34.40976
13000.0,34.40494
13100.0,34.40012
13200.0,34.39532
13300.0,34.39053
13400.0,34.38575
13500.0,34.38099
13600.0,34.37623
13700.0,34.37149
13800.0,34.36677
13900.0,34.36205
14000.0,34.35735
14100.0,34.35266
14200.0,34.34798
14300.0,34.34331
14400.0,34.33866
14500.0,34.33402
14600.0,34.32939
14700.0,34.32478
14800.0,34.32017
14900.0,34.31558
15000.0,34.31101
15100.0,34.30644
15200.0,34.30189
15300.0,34.29735
15400.0,34.29282
15500.0,34.28831
15600.0,34.28381
15700.0,34.27932
15800.0,34.27484
15900.0,34.27037
16000.0,34.26592
16100.0,34.26148
16200.0,34.25705
16300.0,34.25264
16400.0,34.24824
16500.0,34.24385
16600.0,34.23947
16700.0,34.2351
16800.0,34.23075
16900.0,34.22641
17000.0,34.22208
17100.0,34.21777
17200.0,34.21346
17300.0,34.20917
17400.0,34.20489
17500.0,34.20063
17600.0,34.19637
17700.0,34.19213
17800.0,34.1879
17900.0,34.18369
18000.0,34.17948
18100.0,34.17529
18200.0,34.17111
18300.0,34.16694
18400.0,34.16278
18500.0,34.15864
18600.0,34.15451
18700.0,34.15038
18800.0,34.14628
18900.0,34.14218
19000.0,34.1381
19100.0,34.13402
19200.0,34.12996
19300.0,34.12591
19400.0,34.12188
19500.0,34.11785
19600.0,34.11384
19700.0,34.10984
19800.0,34.10585
19900.0,34.10187
20000.0,34.09791
20100.0,34.09395
20200.0,34.09001
20300.0,34.08608
20400.0,34.08216
20500.0,34.07825
20600.0,34.07436
20700.0,34.07047
20800.0,34.0666
20900.0,34.06274
21000.0,34.05889
21100.0,34.05505
21200.0,34.05123
21300.0,34.04741
21400.0,34.04361
21500.0,34.03982
21600.0,34.03603
21700.0,34.03227
21800.0,34.02851
21900.0,34.02476
22000.0,34.02102
22100.0,34.0173
22200.0,34.01359
22300.0,34.00988
22400.0,34.00619
22500.0,34.00251
22600.0,33.99884
22700.0,33.99519
22800.0,33.99154
22900.0,33.9879
23000.0,33.98428
23100.0,33.98067
23200.0,33.97706
23300.0,33.97347
23400.0,33.96989
23500.0,33.96632
23600.0,33.96276
23700.0,33.95921
23800.0,33.95568
23900.0,33.95215
24000.0,33.94863
24100.0,33.94513
24200.0,33.94163
24300.0,33.93815
24400.0,33.93468
24500.0,33.93121
24600.0,33.92776
24700.0,33.92432
24800.0,33.92089
24900.0,33.91747
25000.0,33.91406
