P,Log K
1000.0,-10.41656
1100.0,-10.36983
1200.0,-10.3251
1300.0,-10.28219
1400.0,-10.24092
1500.0,-10.20114
1600.0,-10.16273
1700.0,-10.12558
1800.0,-10.08959
1900.0,-10.05468
2000.0,-10.02078
2100.0,-9.98782
2200.0,-9.955738
2300.0,-9.924481
2400.0,-9.894
2500.0,-9.864251
2600.0,-9.835194
2700.0,-9.806791
2800.0,-9.779009
2900.0,-9.751815
3000.0,-9.725181
3100.0,-9.69908
3200.0,-9.673487
3300.0,-9.648379
3400.0,-9.623734
3500.0,-9.599533
3600.0,-9.575756
3700.0,-9.552386
3800.0,-9.529407
3900.0,-9.506802
4000.0,-9.484557
4100.0,-9.462658
4200.0,-9.441093
4300.0,-9.419849
4400.0,-9.398914
4500.0,-9.378277
4600.0,-9.357929
4700.0,-9.337858
4800.0,-9.318055
4900.0,-9.298513
5000.0,-9.279221
5100.0,-9.260172
5200.0,-9.241358
5300.0,-9.222772
5400.0,-9.204406
5500.0,-9.186254
5600.0,-9.16831
5700.0,-9.150567
5800.0,-9.13302
5900.0,-9.115663
6000.0,-9.09849
6100.0,-9.081497
6200.0,-9.064679
6300.0,-9.048032
6400.0,-9.03155
6500.0,-9.015229
6600.0,-8.999066
6700.0,-8.983057
6800.0,-8.967197
6900.0,-8.951483
7000.0,-8.935912
7100.0,-8.920481
7200.0,-8.905185
7300.0,-8.890023
7400.0,-8.87499
7500.0,-8.860085
7600.0,-8.845304
7700.0,-8.830645
7800.0,-8.816105
7900.0,-8.801682
8000.0,-8.787373
8100.0,-8.773176
8200.0,-8.759088
8300.0,-8.745108
8400.0,-8.731233
8500.0,-8.717462
8600.0,-8.703792
8700.0,-8.690221
8800.0,-8.676748
8900.0,-8.663371
9000.0,-8.650088
9100.0,-8.636897
9200.0,-8.623797
9300.0,-8.610785
9400.0,-8.597862
9500.0,-8.585024
9600.0,-8.572271
9700.0,-8.559601
9800.0,-8.547012
9900.0,-8.534505
10000.0,-8.522076
10100.0,-8.509725
10200.0,-8.49745
10300.0,-8.485251
10400.0,-8.473126
10500.0,-8.461074
10600.0,-8.449094
10700.0,-8.437185
10800.0,-8.425345
10900.0,-8.413574
11000.0,-8.401871
11100.0,-8.390235
11200.0,-8.378664
11300.0,-8.367158
11400.0,-8.355716
11500.0,-8.344337
11600.0,-8.33302
11700.0,-8.321764
11800.0,-8.310569
11900.0,-8.299433
12000.0,-8.288356
12100.0,-8.277337
12200.0,-8.266376
12300.0,-8.25547
12400.0,-8.244621
12500.0,-8.233826
12600.0,-8.223086
12700.0,-8.2124
12800.0,-8.201767
12900.0,-8.191186
13000.0,-8.180656
13100.0,-8.170178
13200.0,-8.15975
13300.0,-8.149372
13400.0,-8.139043
13500.0,-8.128763
13600.0,-8.118531
13700.0,-8.108346
13800.0,-8.098209
13900.0,-8.088118
14000.0,-8.078072
14100.0,-8.068073
14200.0,-8.058118
14300.0,-8.048207
14400.0,-8.03834
14500.0,-8.028517
14600.0,-8.018737
14700.0,-8.008999
14800.0,-7.999304
14900.0,-7.989649
15000.0,-7.980037
15100.0,-7.970464
15200.0,-7.960932
15300.0,-7.95144
15400.0,-7.941988
15500.0,-7.932574
15600.0,-7.9232
15700.0,-7.913863
15800.0,-7.904564
15900.0,-7.895303
16000.0,-7.88608
16100.0,-7.876893
16200.0,-7.867742
16300.0,-7.858628
16400.0,-7.849549
16500.0,-7.840506
16600.0,-7.831497
16700.0,-7.822524
16800.0,-7.813585
16900.0,-7.80468
17000.0,-7.795809
17100.0,-7.786972
17200.0,-7.778167
17300.0,-7.769396
17400.0,-7.760657
17500.0,-7.751951
17600.0,-7.743276
17700.0,-7.734633
17800.0,-7.726022
17900.0,-7.717442
18000.0,-7.708893
18100.0,-7.700375
18200.0,-7.691887
18300.0,-7.683429
18400.0,-7.675001
18500.0,-7.666603
18600.0,-7.658234
18700.0,-7.649894
18800.0,-7.641583
18900.0,-7.633301
19000.0,-7.625048
19100.0,-7.616822
19200.0,-7.608625
19300.0,-7.600455
19400.0,-7.592313
19500.0,-7.584198
19600.0,-7.576111
19700.0,-7.56805
19800.0,-7.560016
19900.0,-7.552009
20000.0,-7.544028
20100.0,-7.536073
20200.0,-7.528143
20300.0,-7.52024
20400.0,-7.512362
20500.0,-7.50451
20600.0,-7.496682
20700.0,-7.48888
20800.0,-7.481102
20900.0,-7.473349
21000.0,-7.46562
21100.0,-7.457916
21200.0,-7.450236
21300.0,-7.442579
21400.0,-7.434946
21500.0,-7.427337
21600.0,-7.419751
21700.0,-7.412189
21800.0,-7.404649
21900.0,-7.397133
22000.0,-7.389639
22100.0,-7.382168
22200.0,-7.374719
22300.0,-7.367293
22400.0,-7.359888
22500.0,-7.352506
22600.0,-7.345146
22700.0,-7.337807
22800.0,-7.33049
22900.0,-7.323194
23000.0,-7.315919
23100.0,-7.308666
23200.0,-7.301434
23300.0,-7.294222
23400.0,-7.287032
23500.0,-7.279861
23600.0,-7.272712
23700.0,-7.265583
23800.0,-7.258473
23900.0,-7.251384
24000.0,-7.244315
24100.0,-7.237266
24200.0,-7.230237
24300.0,-7.223227
24400.0,-7.216237
24500.0,-7.209266
24600.0,-7.202314
24700.0,-7.195381
24800.0,-7.188468
24900.0,-7.181573
25000.0,-7.174697
