P(bar),log10[Keq]
1000,-10.4539
1100,-10.38048
1200,-10.3125
1300,-10.24904
1400,-10.18942
1500,-10.13309
1600,-10.07965
1700,-10.02876
1800,-9.980134
1900,-9.933552
2000,-9.888819
2100,-9.845768
2200,-9.804258
2300,-9.764165
2400,-9.72538
2500,-9.687809
2600,-9.651368
2700,-9.615979
2800,-9.581577
2900,-9.548101
3000,-9.515495
3100,-9.483709
3200,-9.452698
3300,-9.422421
3400,-9.392839
3500,-9.363917
3600,-9.335623
3700,-9.307928
3800,-9.280802
3900,-9.254221
4000,-9.22816
4100,-9.202598
4200,-9.177512
4300,-9.152885
4400,-9.128697
4500,-9.104931
4600,-9.08157
4700,-9.058601
4800,-9.036007
4900,-9.013776
5000,-8.991895
5100,-8.970351
5200,-8.949134
5300,-8.928231
5400,-8.907633
5500,-8.887329
5600,-8.867311
5700,-8.847568
5800,-8.828094
5900,-8.808878
6000,-8.789914
6100,-8.771195
6200,-8.752712
6300,-8.734459
6400,-8.71643
6500,-8.698617
6600,-8.681016
6700,-8.66362
6800,-8.646424
6900,-8.629422
7000,-8.612609
7100,-8.59598
7200,-8.57953
7300,-8.563255
7400,-8.547149
7500,-8.53121
7600,-8.515432
7700,-8.499812
7800,-8.484346
7900,-8.469029
8000,-8.453859
8100,-8.438831
8200,-8.423943
8300,-8.409191
8400,-8.394572
8500,-8.380083
8600,-8.365721
8700,-8.351484
8800,-8.337369
8900,-8.323373
9000,-8.309493
9100,-8.295728
9200,-8.282074
9300,-8.26853
9400,-8.255094
9500,-8.241763
9600,-8.228535
9700,-8.215408
9800,-8.202381
9900,-8.189451
10000,-8.176617
10100,-8.163876
10200,-8.151228
10300,-8.13867
10400,-8.126201
10500,-8.113819
10600,-8.101523
10700,-8.089311
10800,-8.077182
10900,-8.065135
11000,-8.053168
11100,-8.041279
11200,-8.029468
11300,-8.017733
11400,-8.006073
11500,-7.994487
11600,-7.982973
11700,-7.971531
11800,-7.960159
11900,-7.948857
12000,-7.937623
12100,-7.926456
12200,-7.915355
12300,-7.90432
12400,-7.893349
12500,-7.882441
12600,-7.871596
12700,-7.860813
12800,-7.85009
12900,-7.839427
13000,-7.828823
13100,-7.818277
13200,-7.807789
13300,-7.797357
13400,-7.786982
13500,-7.776661
13600,-7.766395
13700,-7.756183
13800,-7.746024
13900,-7.735917
14000,-7.725862
14100,-7.715858
14200,-7.705905
14300,-7.696001
14400,-7.686146
14500,-7.67634
14600,-7.666582
14700,-7.656872
14800,-7.647208
14900,-7.637591
15000,-7.628019
15100,-7.618493
15200,-7.609011
15300,-7.599574
15400,-7.59018
15500,-7.58083
15600,-7.571522
15700,-7.562257
15800,-7.553033
15900,-7.543851
16000,-7.534709
16100,-7.525608
16200,-7.516547
16300,-7.507526
16400,-7.498543
16500,-7.4896
16600,-7.480695
16700,-7.471828
16800,-7.462998
16900,-7.454205
17000,-7.44545
17100,-7.436731
17200,-7.428047
17300,-7.4194
17400,-7.410788
17500,-7.402211
17600,-7.393668
17700,-7.38516
17800,-7.376686
17900,-7.368246
18000,-7.359839
18100,-7.351465
18200,-7.343124
18300,-7.334815
18400,-7.326538
18500,-7.318294
18600,-7.31008
18700,-7.301898
18800,-7.293747
18900,-7.285627
19000,-7.277537
19100,-7.269478
19200,-7.261448
19300,-7.253448
19400,-7.245477
19500,-7.237535
19600,-7.229622
19700,-7.221738
19800,-7.213882
19900,-7.206055
20000,-7.198255
20100,-7.190483
20200,-7.182739
20300,-7.175021
20400,-7.167331
20500,-7.159667
20600,-7.15203
20700,-7.14442
20800,-7.136835
20900,-7.129277
21000,-7.121744
21100,-7.114236
21200,-7.106754
21300,-7.099297
21400,-7.091865
21500,-7.084458
21600,-7.077076
21700,-7.069717
21800,-7.062383
21900,-7.055073
22000,-7.047787
22100,-7.040524
22200,-7.033285
22300,-7.026069
22400,-7.018876
22500,-7.011706
22600,-7.004559
22700,-6.997435
22800,-6.990333
22900,-6.983253
23000,-6.976195
23100,-6.96916
23200,-6.962146
23300,-6.955154
23400,-6.948183
23500,-6.941234
23600,-6.934306
23700,-6.927399
23800,-6.920513
23900,-6.913648
24000,-6.906803
24100,-6.899979
24200,-6.893175
24300,-6.886392
24400,-6.879629
24500,-6.872885
24600,-6.866162
24700,-6.859458
24800,-6.852774
24900,-6.846109
25000,-6.839464
