P,Log K
1000.0,1.325798
1100.0,1.317615
1200.0,1.319716
1300.0,1.328829
1400.0,1.342816
1500.0,1.360231
1600.0,1.380064
1700.0,1.401595
1800.0,1.424301
1900.0,1.447795
2000.0,1.471789
2100.0,1.496065
2200.0,1.520457
2300.0,1.54484
2400.0,1.569117
2500.0,1.593214
2600.0,1.617074
2700.0,1.640654
2800.0,1.663923
2900.0,1.686856
3000.0,1.709436
3100.0,1.731652
3200.0,1.753495
3300.0,1.774961
3400.0,1.796049
3500.0,1.816758
3600.0,1.837092
3700.0,1.857052
3800.0,1.876645
3900.0,1.895875
4000.0,1.914748
4100.0,1.933272
4200.0,1.951452
4300.0,1.969296
4400.0,1.986812
4500.0,2.004007
4600.0,2.020888
4700.0,2.037464
4800.0,2.053741
4900.0,2.069728
5000.0,2.085431
5100.0,2.100859
5200.0,2.116018
5300.0,2.130917
5400.0,2.145561
5500.0,2.159957
5600.0,2.174114
5700.0,2.188037
5800.0,2.201732
5900.0,2.215207
6000.0,2.228467
6100.0,2.241519
6200.0,2.254368
6300.0,2.267021
6400.0,2.279483
6500.0,2.29176
6600.0,2.303856
6700.0,2.315778
6800.0,2.327531
6900.0,2.339119
7000.0,2.350548
7100.0,2.361823
7200.0,2.372947
7300.0,2.383926
7400.0,2.394765
7500.0,2.405467
7600.0,2.416038
7700.0,2.426481
7800.0,2.4368
7900.0,2.447
8000.0,2.457084
8100.0,2.467056
8200.0,2.476919
8300.0,2.486677
8400.0,2.496333
8500.0,2.50589
8600.0,2.515351
8700.0,2.524719
8800.0,2.533997
8900.0,2.543187
9000.0,2.552292
9100.0,2.561314
9200.0,2.570256
9300.0,2.57912
9400.0,2.587908
9500.0,2.596622
9600.0,2.605265
9700.0,2.613838
9800.0,2.622344
9900.0,2.630783
10000.0,2.639159
10100.0,2.647472
10200.0,2.655725
10300.0,2.663919
10400.0,2.672055
10500.0,2.680136
10600.0,2.688161
10700.0,2.696134
10800.0,2.704056
10900.0,2.711927
11000.0,2.719749
11100.0,2.727523
11200.0,2.735251
11300.0,2.742934
11400.0,2.750572
11500.0,2.758168
11600.0,2.765721
11700.0,2.773234
11800.0,2.780706
11900.0,2.78814
12000.0,2.795536
12100.0,2.802895
12200.0,2.810218
12300.0,2.817506
12400.0,2.824759
12500.0,2.831979
12600.0,2.839167
12700.0,2.846322
12800.0,2.853447
12900.0,2.860541
13000.0,2.867606
13100.0,2.874642
13200.0,2.88165
13300.0,2.88863
13400.0,2.895583
13500.0,2.902511
13600.0,2.909412
13700.0,2.916289
13800.0,2.923142
13900.0,2.929971
14000.0,2.936776
14100.0,2.943559
14200.0,2.95032
14300.0,2.95706
14400.0,2.963778
14500.0,2.970476
14600.0,2.977154
14700.0,2.983813
14800.0,2.990452
14900.0,2.997073
15000.0,3.003675
15100.0,3.01026
15200.0,3.016828
15300.0,3.023378
15400.0,3.029913
15500.0,3.036431
15600.0,3.042933
15700.0,3.04942
15800.0,3.055893
15900.0,3.06235
16000.0,3.068794
16100.0,3.075223
16200.0,3.081639
16300.0,3.088042
16400.0,3.094432
16500.0,3.10081
16600.0,3.107175
16700.0,3.113529
16800.0,3.119871
16900.0,3.126201
17000.0,3.13252
17100.0,3.138829
17200.0,3.145127
17300.0,3.151415
17400.0,3.157693
17500.0,3.163962
17600.0,3.170221
17700.0,3.17647
17800.0,3.182711
17900.0,3.188943
18000.0,3.195167
18100.0,3.201382
18200.0,3.20759
18300.0,3.213789
18400.0,3.219981
18500.0,3.226166
18600.0,3.232343
18700.0,3.238514
18800.0,3.244678
18900.0,3.250835
19000.0,3.256986
19100.0,3.26313
19200.0,3.269269
19300.0,3.275402
19400.0,3.281529
19500.0,3.287651
19600.0,3.293767
19700.0,3.299878
19800.0,3.305985
19900.0,3.312086
20000.0,3.318183
20100.0,3.324275
20200.0,3.330363
20300.0,3.336447
20400.0,3.342527
20500.0,3.348603
20600.0,3.354675
20700.0,3.360743
20800.0,3.366808
20900.0,3.37287
21000.0,3.378929
21100.0,3.384984
21200.0,3.391036
21300.0,3.397086
21400.0,3.403133
21500.0,3.409177
21600.0,3.415219
21700.0,3.421258
21800.0,3.427295
21900.0,3.43333
22000.0,3.439364
22100.0,3.445395
22200.0,3.451424
22300.0,3.457452
22400.0,3.463477
22500.0,3.469502
22600.0,3.475525
22700.0,3.481547
22800.0,3.487567
22900.0,3.493587
23000.0,3.499605
23100.0,3.505623
23200.0,3.511639
23300.0,3.517655
23400.0,3.523671
23500.0,3.529685
23600.0,3.535699
23700.0,3.541713
23800.0,3.547726
23900.0,3.55374
24000.0,3.559752
24100.0,3.565765
24200.0,3.571778
24300.0,3.577791
24400.0,3.583804
24500.0,3.589817
24600.0,3.59583
24700.0,3.601844
24800.0,3.607858
24900.0,3.613873
25000.0,3.619888
