P,Log K
1000.0,-0.690178
1100.0,-0.6648704
1200.0,-0.6412939
1300.0,-0.6192313
1400.0,-0.5985045
1500.0,-0.5789655
1600.0,-0.5604899
1700.0,-0.542972
1800.0,-0.5263211
1900.0,-0.5104588
2000.0,-0.4953171
2100.0,-0.4808362
2200.0,-0.4669634
2300.0,-0.4536521
2400.0,-0.4408607
2500.0,-0.4285521
2600.0,-0.4166929
2700.0,-0.4052529
2800.0,-0.394205
2900.0,-0.3835242
3000.0,-0.3731881
3100.0,-0.3631761
3200.0,-0.3534693
3300.0,-0.3440503
3400.0,-0.3349032
3500.0,-0.3260132
3600.0,-0.3173666
3700.0,-0.3089509
3800.0,-0.3007543
3900.0,-0.2927659
4000.0,-0.2849754
4100.0,-0.2773734
4200.0,-0.2699511
4300.0,-0.2627
4400.0,-0.2556124
4500.0,-0.2486809
4600.0,-0.2418987
4700.0,-0.2352592
4800.0,-0.2287564
4900.0,-0.2223845
5000.0,-0.2161379
5100.0,-0.2100117
5200.0,-0.2040008
5300.0,-0.1981006
5400.0,-0.1923069
5500.0,-0.1866153
5600.0,-0.1810221
5700.0,-0.1755235
5800.0,-0.1701159
5900.0,-0.1647962
6000.0,-0.1595611
6100.0,-0.1544076
6200.0,-0.149333
6300.0,-0.1443344
6400.0,-0.1394094
6500.0,-0.1345555
6600.0,-0.1297704
6700.0,-0.1250518
6800.0,-0.1203976
6900.0,-0.1158058
7000.0,-0.1112745
7100.0,-0.1068018
7200.0,-0.102386
7300.0,-0.09802526
7400.0,-0.09371811
7500.0,-0.08946294
7600.0,-0.08525827
7700.0,-0.08110266
7800.0,-0.07699475
7900.0,-0.07293322
8000.0,-0.0689168
8100.0,-0.06494429
8200.0,-0.0610145
8300.0,-0.05712632
8400.0,-0.05327867
8500.0,-0.0494705
8600.0,-0.0457008
8700.0,-0.04196862
8800.0,-0.03827301
8900.0,-0.03461308
9000.0,-0.03098796
9100.0,-0.02739681
9200.0,-0.02383882
9300.0,-0.02031321
9400.0,-0.01681922
9500.0,-0.01335613
9600.0,-0.009923225
9700.0,-0.006519823
9800.0,-0.003145262
9900.0,0.0002010959
10000.0,0.003519872
10100.0,0.006811665
10200.0,0.01007706
10300.0,0.01331662
10400.0,0.01653088
10500.0,0.01972039
10600.0,0.02288565
10700.0,0.02602717
10800.0,0.02914542
10900.0,0.03224088
11000.0,0.035314
11100.0,0.03836523
11200.0,0.041395
11300.0,0.04440373
11400.0,0.04739182
11500.0,0.05035967
11600.0,0.05330767
11700.0,0.05623619
11800.0,0.05914559
11900.0,0.06203623
12000.0,0.06490845
12100.0,0.06776259
12200.0,0.07059898
12300.0,0.07341794
12400.0,0.07621978
12500.0,0.07900479
12600.0,0.08177328
12700.0,0.08452553
12800.0,0.08726182
12900.0,0.08998243
13000.0,0.09268762
13100.0,0.09537766
13200.0,0.09805279
13300.0,0.1007133
13400.0,0.1033593
13500.0,0.1059912
13600.0,0.1086092
13700.0,0.1112134
13800.0,0.1138041
13900.0,0.1163816
14000.0,0.1189459
14100.0,0.1214974
14200.0,0.1240363
14300.0,0.1265626
14400.0,0.1290767
14500.0,0.1315787
14600.0,0.1340688
14700.0,0.1365471
14800.0,0.1390139
14900.0,0.1414693
15000.0,0.1439135
15100.0,0.1463466
15200.0,0.1487689
15300.0,0.1511804
15400.0,0.1535814
15500.0,0.1559719
15600.0,0.1583522
15700.0,0.1607223
15800.0,0.1630825
15900.0,0.1654327
16000.0,0.1677733
16100.0,0.1701043
16200.0,0.1724259
16300.0,0.1747381
16400.0,0.1770412
16500.0,0.1793351
16600.0,0.1816202
16700.0,0.1838964
16800.0,0.1861638
16900.0,0.1884227
17000.0,0.1906732
17100.0,0.1929152
17200.0,0.195149
17300.0,0.1973746
17400.0,0.1995921
17500.0,0.2018017
17600.0,0.2040035
17700.0,0.2061975
17800.0,0.2083838
17900.0,0.2105626
18000.0,0.2127339
18100.0,0.2148978
18200.0,0.2170544
18300.0,0.2192039
18400.0,0.2213462
18500.0,0.2234815
18600.0,0.2256099
18700.0,0.2277314
18800.0,0.2298461
18900.0,0.2319542
19000.0,0.2340556
19100.0,0.2361504
19200.0,0.2382388
19300.0,0.2403208
19400.0,0.2423965
19500.0,0.244466
19600.0,0.2465292
19700.0,0.2485864
19800.0,0.2506375
19900.0,0.2526827
20000.0,0.2547219
20100.0,0.2567553
20200.0,0.258783
20300.0,0.2608049
20400.0,0.2628212
20500.0,0.2648319
20600.0,0.266837
20700.0,0.2688367
20800.0,0.270831
20900.0,0.2728199
21000.0,0.2748036
21100.0,0.276782
21200.0,0.2787552
21300.0,0.2807233
21400.0,0.2826863
21500.0,0.2846443
21600.0,0.2865973
21700.0,0.2885454
21800.0,0.2904887
21900.0,0.2924271
22000.0,0.2943607
22100.0,0.2962896
22200.0,0.2982139
22300.0,0.3001335
22400.0,0.3020485
22500.0,0.303959
22600.0,0.305865
22700.0,0.3077666
22800.0,0.3096637
22900.0,0.3115565
23000.0,0.313445
23100.0,0.3153291
23200.0,0.3172091
23300.0,0.3190848
23400.0,0.3209564
23500.0,0.3228239
23600.0,0.3246873
23700.0,0.3265466
23800.0,0.328402
23900.0,0.3302534
24000.0,0.3321008
24100.0,0.3339444
24200.0,0.3357841
24300.0,0.33762
24400.0,0.3394521
24500.0,0.3412805
24600.0,0.3431051
24700.0,0.3449261
24800.0,0.3467434
24900.0,0.3485571
25000.0,0.3503672
