P,Log K
1000.0,-1.596055
1100.0,-1.561876
1200.0,-1.529652
1300.0,-1.49918
1400.0,-1.47029
1500.0,-1.442837
1600.0,-1.416694
1700.0,-1.391753
1800.0,-1.367918
1900.0,-1.345104
2000.0,-1.323237
2100.0,-1.302251
2200.0,-1.282084
2300.0,-1.262683
2400.0,-1.244
2500.0,-1.225989
2600.0,-1.208612
2700.0,-1.191831
2800.0,-1.175613
2900.0,-1.159925
3000.0,-1.144741
3100.0,-1.130033
3200.0,-1.115777
3300.0,-1.101951
3400.0,-1.088532
3500.0,-1.075503
3600.0,-1.062843
3700.0,-1.050537
3800.0,-1.038568
3900.0,-1.026921
4000.0,-1.015582
4100.0,-1.004537
4200.0,-0.9937749
4300.0,-0.9832828
4400.0,-0.9730498
4500.0,-0.9630654
4600.0,-0.9533196
4700.0,-0.943803
4800.0,-0.9345065
4900.0,-0.9254217
5000.0,-0.9165405
5100.0,-0.9078551
5200.0,-0.8993583
5300.0,-0.8910431
5400.0,-0.8829029
5500.0,-0.8749313
5600.0,-0.8671223
5700.0,-0.8594705
5800.0,-0.8519703
5900.0,-0.8446166
6000.0,-0.8374047
6100.0,-0.8303299
6200.0,-0.8233878
6300.0,-0.8165742
6400.0,-0.8098852
6500.0,-0.8033168
6600.0,-0.7968655
6700.0,-0.7905278
6800.0,-0.7843003
6900.0,-0.7781799
7000.0,-0.7721635
7100.0,-0.7662482
7200.0,-0.7604311
7300.0,-0.7547096
7400.0,-0.7490811
7500.0,-0.7435431
7600.0,-0.7380932
7700.0,-0.7327291
7800.0,-0.7274486
7900.0,-0.7222497
8000.0,-0.7171302
8100.0,-0.7120881
8200.0,-0.7071217
8300.0,-0.702229
8400.0,-0.6974083
8500.0,-0.6926578
8600.0,-0.687976
8700.0,-0.6833613
8800.0,-0.6788121
8900.0,-0.6743269
9000.0,-0.6699042
9100.0,-0.6655429
9200.0,-0.6612413
9300.0,-0.6569984
9400.0,-0.6528127
9500.0,-0.6486832
9600.0,-0.6446086
9700.0,-0.6405877
9800.0,-0.6366195
9900.0,-0.6327029
10000.0,-0.6288369
10100.0,-0.6250203
10200.0,-0.6212523
10300.0,-0.617532
10400.0,-0.6138582
10500.0,-0.6102303
10600.0,-0.6066472
10700.0,-0.6031082
10800.0,-0.5996124
10900.0,-0.5961591
11000.0,-0.5927473
11100.0,-0.5893764
11200.0,-0.5860457
11300.0,-0.5827544
11400.0,-0.5795017
11500.0,-0.5762871
11600.0,-0.5731099
11700.0,-0.5699693
11800.0,-0.5668649
11900.0,-0.5637959
12000.0,-0.5607618
12100.0,-0.5577619
12200.0,-0.5547958
12300.0,-0.5518628
12400.0,-0.5489624
12500.0,-0.546094
12600.0,-0.5432573
12700.0,-0.5404515
12800.0,-0.5376764
12900.0,-0.5349313
13000.0,-0.5322158
13100.0,-0.5295294
13200.0,-0.5268717
13300.0,-0.5242423
13400.0,-0.5216407
13500.0,-0.5190665
13600.0,-0.5165193
13700.0,-0.5139987
13800.0,-0.5115043
13900.0,-0.5090356
14000.0,-0.5065925
14100.0,-0.5041743
14200.0,-0.5017809
14300.0,-0.4994119
14400.0,-0.4970668
14500.0,-0.4947454
14600.0,-0.4924474
14700.0,-0.4901723
14800.0,-0.48792
14900.0,-0.48569
15000.0,-0.4834822
15100.0,-0.4812961
15200.0,-0.4791314
15300.0,-0.476988
15400.0,-0.4748655
15500.0,-0.4727637
15600.0,-0.4706822
15700.0,-0.4686208
15800.0,-0.4665793
15900.0,-0.4645573
16000.0,-0.4625547
16100.0,-0.4605712
16200.0,-0.4586066
16300.0,-0.4566605
16400.0,-0.4547328
16500.0,-0.4528233
16600.0,-0.4509317
16700.0,-0.4490579
16800.0,-0.4472015
16900.0,-0.4453624
17000.0,-0.4435403
17100.0,-0.4417352
17200.0,-0.4399467
17300.0,-0.4381746
17400.0,-0.4364189
17500.0,-0.4346792
17600.0,-0.4329555
17700.0,-0.4312474
17800.0,-0.4295549
17900.0,-0.4278777
18000.0,-0.4262157
18100.0,-0.4245687
18200.0,-0.4229365
18300.0,-0.421319
18400.0,-0.419716
18500.0,-0.4181274
18600.0,-0.416553
18700.0,-0.4149925
18800.0,-0.413446
18900.0,-0.4119132
19000.0,-0.4103939
19100.0,-0.4088881
19200.0,-0.4073956
19300.0,-0.4059162
19400.0,-0.4044498
19500.0,-0.4029963
19600.0,-0.4015556
19700.0,-0.4001274
19800.0,-0.3987117
19900.0,-0.3973084
20000.0,-0.3959172
20100.0,-0.3945382
20200.0,-0.3931711
20300.0,-0.3918159
20400.0,-0.3904723
20500.0,-0.3891404
20600.0,-0.38782
20700.0,-0.386511
20800.0,-0.3852132
20900.0,-0.3839266
21000.0,-0.382651
21100.0,-0.3813864
21200.0,-0.3801326
21300.0,-0.3788895
21400.0,-0.3776571
21500.0,-0.3764351
21600.0,-0.3752236
21700.0,-0.3740224
21800.0,-0.3728315
21900.0,-0.3716506
22000.0,-0.3704798
22100.0,-0.369319
22200.0,-0.3681679
22300.0,-0.3670267
22400.0,-0.3658951
22500.0,-0.364773
22600.0,-0.3636605
22700.0,-0.3625574
22800.0,-0.3614636
22900.0,-0.360379
23000.0,-0.3593036
23100.0,-0.3582372
23200.0,-0.3571798
23300.0,-0.3561314
23400.0,-0.3550917
23500.0,-0.3540609
23600.0,-0.3530387
23700.0,-0.3520251
23800.0,-0.35102
23900.0,-0.3500234
24000.0,-0.3490352
24100.0,-0.3480552
24200.0,-0.3470836
24300.0,-0.34612
24400.0,-0.3451646
24500.0,-0.3442172
24600.0,-0.3432778
