P(bar),log10[Keq]
1000,-2.606818
1100,-2.544423
1200,-2.487007
1300,-2.433796
1400,-2.384193
1500,-2.337729
1600,-2.294028
1700,-2.25278
1800,-2.213728
1900,-2.176655
2000,-2.141378
2100,-2.107738
2200,-2.075598
2300,-2.044837
2400,-2.015351
2500,-1.987047
2600,-1.95984
2700,-1.933657
2800,-1.908432
2900,-1.884103
3000,-1.860616
3100,-1.837922
3200,-1.815976
3300,-1.794736
3400,-1.774163
3500,-1.754224
3600,-1.734885
3700,-1.716117
3800,-1.697892
3900,-1.680185
4000,-1.662971
4100,-1.646227
4200,-1.629935
4300,-1.614072
4400,-1.598622
4500,-1.583568
4600,-1.568892
4700,-1.55458
4800,-1.540617
4900,-1.52699
5000,-1.513685
5100,-1.500692
5200,-1.487997
5300,-1.475592
5400,-1.463464
5500,-1.451604
5600,-1.440003
5700,-1.428651
5800,-1.417541
5900,-1.406664
6000,-1.396013
6100,-1.385579
6200,-1.375356
6300,-1.365338
6400,-1.355517
6500,-1.345887
6600,-1.336443
6700,-1.327178
6800,-1.318087
6900,-1.309165
7000,-1.300407
7100,-1.291807
7200,-1.283362
7300,-1.275065
7400,-1.266914
7500,-1.258903
7600,-1.25103
7700,-1.243288
7800,-1.235676
7900,-1.228188
8000,-1.220822
8100,-1.213574
8200,-1.206441
8300,-1.19942
8400,-1.192508
8500,-1.185701
8600,-1.178998
8700,-1.172395
8800,-1.16589
8900,-1.159481
9000,-1.153164
9100,-1.146939
9200,-1.140802
9300,-1.134751
9400,-1.128785
9500,-1.122901
9600,-1.117097
9700,-1.111372
9800,-1.105724
9900,-1.100151
10000,-1.094651
10100,-1.089223
10200,-1.083866
10300,-1.078576
10400,-1.073354
10500,-1.068198
10600,-1.063107
10700,-1.058078
10800,-1.053111
10900,-1.048204
11000,-1.043357
11100,-1.038568
11200,-1.033835
11300,-1.029159
11400,-1.024537
11500,-1.019969
11600,-1.015453
11700,-1.010989
11800,-1.006576
11900,-1.002212
12000,-0.9978973
12100,-0.9936302
12200,-0.9894102
12300,-0.9852364
12400,-0.9811079
12500,-0.9770239
12600,-0.9729836
12700,-0.9689863
12800,-0.9650313
12900,-0.9611178
13000,-0.957245
13100,-0.9534124
13200,-0.9496193
13300,-0.9458649
13400,-0.9421486
13500,-0.9384699
13600,-0.934828
13700,-0.9312225
13800,-0.9276527
13900,-0.9241181
14000,-0.9206181
14100,-0.9171521
14200,-0.9137197
14300,-0.9103203
14400,-0.9069533
14500,-0.9036184
14600,-0.9003151
14700,-0.8970428
14800,-0.893801
14900,-0.8905894
15000,-0.8874075
15100,-0.8842549
15200,-0.8811311
15300,-0.8780357
15400,-0.8749684
15500,-0.8719286
15600,-0.8689161
15700,-0.8659304
15800,-0.8629712
15900,-0.8600381
16000,-0.8571307
16100,-0.8542487
16200,-0.8513918
16300,-0.8485595
16400,-0.8457516
16500,-0.8429678
16600,-0.8402077
16700,-0.8374711
16800,-0.8347575
16900,-0.8320668
17000,-0.8293985
17100,-0.8267525
17200,-0.8241285
17300,-0.821526
17400,-0.818945
17500,-0.8163851
17600,-0.8138461
17700,-0.8113276
17800,-0.8088295
17900,-0.8063515
18000,-0.8038933
18100,-0.8014548
18200,-0.7990356
18300,-0.7966355
18400,-0.7942544
18500,-0.7918919
18600,-0.7895479
18700,-0.7872221
18800,-0.7849144
18900,-0.7826245
19000,-0.7803522
19100,-0.7780974
19200,-0.7758597
19300,-0.7736391
19400,-0.7714353
19500,-0.7692482
19600,-0.7670775
19700,-0.764923
19800,-0.7627847
19900,-0.7606622
20000,-0.7585556
20100,-0.7564644
20200,-0.7543887
20300,-0.7523282
20400,-0.7502828
20500,-0.7482522
20600,-0.7462365
20700,-0.7442353
20800,-0.7422485
20900,-0.7402761
21000,-0.7383178
21100,-0.7363734
21200,-0.734443
21300,-0.7325262
21400,-0.730623
21500,-0.7287332
21600,-0.7268567
21700,-0.7249933
21800,-0.723143
21900,-0.7213056
22000,-0.7194809
22100,-0.7176689
22200,-0.7158694
22300,-0.7140823
22400,-0.7123074
22500,-0.7105448
22600,-0.7087941
22700,-0.7070554
22800,-0.7053284
22900,-0.7036132
23000,-0.7019095
23100,-0.7002173
23200,-0.6985365
23300,-0.6968669
23400,-0.6952085
23500,-0.6935611
23600,-0.6919246
23700,-0.690299
23800,-0.6886842
23900,-0.68708
24000,-0.6854863
24100,-0.6839031
24200,-0.6823303
24300,-0.6807677
24400,-0.6792153
24500,-0.677673
24600,-0.6761406
24700,-0.6746182
24800,-0.6731056
24900,-0.6716027
25000,-0.6701095
