P,Log K
1000.0,5.783368
1100.0,5.791968
1200.0,5.800174
1300.0,5.808
1400.0,5.815464
1500.0,5.822583
1600.0,5.829376
1700.0,5.835859
1800.0,5.842047
1900.0,5.847957
2000.0,5.853604
2100.0,5.859
2200.0,5.864159
2300.0,5.869093
2400.0,5.873814
2500.0,5.878332
2600.0,5.882658
2700.0,5.8868
2800.0,5.890769
2900.0,5.894572
3000.0,5.898218
3100.0,5.901713
3200.0,5.905066
3300.0,5.908282
3400.0,5.911369
3500.0,5.914331
3600.0,5.917175
3700.0,5.919906
3800.0,5.922529
3900.0,5.92505
4000.0,5.927471
4100.0,5.929799
4200.0,5.932037
4300.0,5.934189
4400.0,5.936258
4500.0,5.938249
4600.0,5.940165
4700.0,5.942008
4800.0,5.943783
4900.0,5.945492
5000.0,5.947138
5100.0,5.948723
5200.0,5.950251
5300.0,5.951723
5400.0,5.953143
5500.0,5.954511
5600.0,5.955832
5700.0,5.957106
5800.0,5.958335
5900.0,5.959522
6000.0,5.960667
6100.0,5.961774
6200.0,5.962842
6300.0,5.963875
6400.0,5.964872
6500.0,5.965837
6600.0,5.966769
6700.0,5.96767
6800.0,5.968542
6900.0,5.969385
7000.0,5.970201
7100.0,5.97099
7200.0,5.971754
7300.0,5.972494
7400.0,5.973211
7500.0,5.973904
7600.0,5.974576
7700.0,5.975228
7800.0,5.975859
7900.0,5.976471
8000.0,5.977064
8100.0,5.977639
8200.0,5.978197
8300.0,5.978739
8400.0,5.979264
8500.0,5.979774
8600.0,5.98027
8700.0,5.980751
8800.0,5.981219
8900.0,5.981673
9000.0,5.982115
9100.0,5.982544
9200.0,5.982962
9300.0,5.983369
9400.0,5.983765
9500.0,5.98415
9600.0,5.984526
9700.0,5.984892
9800.0,5.985249
9900.0,5.985597
10000.0,5.985936
10100.0,5.986268
10200.0,5.986591
10300.0,5.986907
10400.0,5.987216
10500.0,5.987519
10600.0,5.987814
10700.0,5.988104
10800.0,5.988387
10900.0,5.988665
11000.0,5.988937
11100.0,5.989204
11200.0,5.989466
11300.0,5.989723
11400.0,5.989976
11500.0,5.990225
11600.0,5.99047
11700.0,5.99071
11800.0,5.990947
11900.0,5.991181
12000.0,5.991412
12100.0,5.991639
12200.0,5.991864
12300.0,5.992086
12400.0,5.992305
12500.0,5.992522
12600.0,5.992737
12700.0,5.99295
12800.0,5.993161
12900.0,5.99337
13000.0,5.993578
13100.0,5.993784
13200.0,5.993989
13300.0,5.994193
13400.0,5.994396
13500.0,5.994597
13600.0,5.994799
13700.0,5.994999
13800.0,5.995199
13900.0,5.995399
14000.0,5.995598
14100.0,5.995797
14200.0,5.995996
14300.0,5.996195
14400.0,5.996394
14500.0,5.996593
14600.0,5.996793
14700.0,5.996993
14800.0,5.997193
14900.0,5.997394
15000.0,5.997596
15100.0,5.997798
15200.0,5.998001
15300.0,5.998206
15400.0,5.998411
15500.0,5.998617
15600.0,5.998824
15700.0,5.999033
15800.0,5.999243
15900.0,5.999454
16000.0,5.999666
16100.0,5.99988
16200.0,6.000096
16300.0,6.000313
16400.0,6.000532
16500.0,6.000753
16600.0,6.000975
16700.0,6.001199
16800.0,6.001425
16900.0,6.001653
17000.0,6.001883
17100.0,6.002115
17200.0,6.002349
17300.0,6.002586
17400.0,6.002824
17500.0,6.003065
17600.0,6.003308
17700.0,6.003553
17800.0,6.003801
17900.0,6.004051
18000.0,6.004304
18100.0,6.004559
18200.0,6.004816
18300.0,6.005076
18400.0,6.005339
18500.0,6.005605
18600.0,6.005873
18700.0,6.006143
18800.0,6.006417
18900.0,6.006693
19000.0,6.006972
19100.0,6.007254
19200.0,6.007539
19300.0,6.007827
19400.0,6.008118
19500.0,6.008411
19600.0,6.008708
19700.0,6.009007
19800.0,6.00931
19900.0,6.009616
20000.0,6.009924
20100.0,6.010236
20200.0,6.010551
20300.0,6.01087
20400.0,6.011191
20500.0,6.011516
20600.0,6.011843
20700.0,6.012175
20800.0,6.012509
20900.0,6.012846
21000.0,6.013187
21100.0,6.013532
21200.0,6.013879
21300.0,6.01423
21400.0,6.014585
21500.0,6.014942
21600.0,6.015304
21700.0,6.015668
21800.0,6.016036
21900.0,6.016408
22000.0,6.016783
22100.0,6.017161
22200.0,6.017543
22300.0,6.017929
22400.0,6.018318
22500.0,6.01871
22600.0,6.019106
22700.0,6.019506
22800.0,6.01991
22900.0,6.020316
23000.0,6.020727
23100.0,6.021141
23200.0,6.021559
23300.0,6.02198
23400.0,6.022405
23500.0,6.022834
23600.0,6.023267
23700.0,6.023703
23800.0,6.024142
23900.0,6.024586
24000.0,6.025033
24100.0,6.025484
24200.0,6.025939
24300.0,6.026397
24400.0,6.026859
24500.0,6.027325
24600.0,6.027795
24700.0,6.028268
24800.0,6.028745
24900.0,6.029226
25000.0,6.029711
