P(bar),log10[Keq]
1000,4.696567
1100,4.701768
1200,4.707854
1300,4.714434
1400,4.721265
1500,4.728191
1600,4.73511
1700,4.741954
1800,4.74868
1900,4.755257
2000,4.761668
2100,4.767899
2200,4.773945
2300,4.779804
2400,4.785474
2500,4.790958
2600,4.796258
2700,4.801379
2800,4.806324
2900,4.811098
3000,4.815706
3100,4.820154
3200,4.824446
3300,4.828588
3400,4.832585
3500,4.836441
3600,4.840162
3700,4.843752
3800,4.847216
3900,4.850559
4000,4.853785
4100,4.856897
4200,4.8599
4300,4.862799
4400,4.865596
4500,4.868295
4600,4.870899
4700,4.873413
4800,4.875839
4900,4.878181
5000,4.88044
5100,4.882621
5200,4.884726
5300,4.886757
5400,4.888718
5500,4.89061
5600,4.892436
5700,4.894199
5800,4.8959
5900,4.897542
6000,4.899126
6100,4.900656
6200,4.902131
6300,4.903556
6400,4.904931
6500,4.906257
6600,4.907538
6700,4.908774
6800,4.909966
6900,4.911118
7000,4.912229
7100,4.913301
7200,4.914337
7300,4.915336
7400,4.916301
7500,4.917232
7600,4.918132
7700,4.919
7800,4.919839
7900,4.92065
8000,4.921433
8100,4.922189
8200,4.92292
8300,4.923627
8400,4.924309
8500,4.92497
8600,4.925608
8700,4.926225
8800,4.926822
8900,4.927399
9000,4.927957
9100,4.928497
9200,4.929019
9300,4.929525
9400,4.930014
9500,4.930488
9600,4.930946
9700,4.93139
9800,4.931819
9900,4.932235
10000,4.932638
10100,4.933029
10200,4.933407
10300,4.933774
10400,4.934129
10500,4.934473
10600,4.934807
10700,4.935131
10800,4.935445
10900,4.93575
11000,4.936046
11100,4.936333
11200,4.936612
11300,4.936883
11400,4.937147
11500,4.937402
11600,4.937651
11700,4.937893
11800,4.938128
11900,4.938357
12000,4.93858
12100,4.938798
12200,4.939009
12300,4.939216
12400,4.939417
12500,4.939613
12600,4.939805
12700,4.939992
12800,4.940175
12900,4.940354
13000,4.94053
13100,4.940701
13200,4.940869
13300,4.941034
13400,4.941195
13500,4.941354
13600,4.94151
13700,4.941663
13800,4.941813
13900,4.941961
14000,4.942107
14100,4.942251
14200,4.942393
14300,4.942533
14400,4.942672
14500,4.942808
14600,4.942944
14700,4.943078
14800,4.943211
14900,4.943343
15000,4.943473
15100,4.943603
15200,4.943732
15300,4.943861
15400,4.943989
15500,4.944116
15600,4.944244
15700,4.94437
15800,4.944497
15900,4.944623
16000,4.94475
16100,4.944877
16200,4.945003
16300,4.94513
16400,4.945257
16500,4.945385
16600,4.945513
16700,4.945642
16800,4.945771
16900,4.9459
17000,4.946031
17100,4.946162
17200,4.946294
17300,4.946428
17400,4.946562
17500,4.946697
17600,4.946833
17700,4.94697
17800,4.947109
17900,4.947248
18000,4.947389
18100,4.947532
18200,4.947676
18300,4.947821
18400,4.947968
18500,4.948116
18600,4.948266
18700,4.948418
18800,4.948571
18900,4.948726
19000,4.948883
19100,4.949041
19200,4.949202
19300,4.949364
19400,4.949528
19500,4.949694
19600,4.949862
19700,4.950033
19800,4.950205
19900,4.950379
20000,4.950556
20100,4.950734
20200,4.950915
20300,4.951098
20400,4.951283
20500,4.951471
20600,4.951661
20700,4.951853
20800,4.952047
20900,4.952244
21000,4.952444
21100,4.952646
21200,4.95285
21300,4.953057
21400,4.953266
21500,4.953478
21600,4.953692
21700,4.953909
21800,4.954128
21900,4.95435
22000,4.954575
22100,4.954803
22200,4.955033
22300,4.955265
22400,4.955501
22500,4.955739
22600,4.95598
22700,4.956224
22800,4.956471
22900,4.95672
23000,4.956972
23100,4.957227
23200,4.957485
23300,4.957746
23400,4.958009
23500,4.958276
23600,4.958545
23700,4.958817
23800,4.959093
23900,4.959371
24000,4.959652
24100,4.959936
24200,4.960223
24300,4.960513
24400,4.960806
24500,4.961102
24600,4.961401
24700,4.961703
24800,4.962009
24900,4.962317
25000,4.962628
